Artist Name,Track Name
Michael+Jackson,Billie+Jean+-+Single+Version
Whitney+Houston,I+Wanna+Dance+with+Somebody+(Who+Loves+Me)
Kenny+Loggins,Footloose
Eurythmics,Sweet+Dreams+(Are+Made+of+This)+-+Remastered
Toto,Africa
Cyndi+Lauper,Girls+Just+Want+to+Have+Fun
Billy+Joel,Uptown+Girl
AC/DC,You+Shook+Me+All+Night+Long
Daryl+Hall+&+John+Oates,You+Make+My+Dreams+-+Remastered
Kim+Carnes,Bette+Davis+Eyes
Journey,Don%27t+Stop+Believin%27
Rick+Springfield,Jessie%27s+Girl
Paul+Simon,You+Can+Call+Me+Al
A+Flock+Of+Seagulls,I+Ran
Bruce+Springsteen,Dancing+In+the+Dark
George+Michael,Faith+-+Remastered
Madonna,Material+Girl
Dead+Or+Alive,You+Spin+Me+Round+(Like+a+Record)
Michael+Jackson,Beat+It+-+Single+Version
"Run_D.M.C.,+Aerosmith",Walk+This+Way
Billy+Ocean,Caribbean+Queen+(No+More+Love+on+the+Run)
Men+At+Work,Down+Under
Soft+Cell,Tainted+Love
Bow+Wow+Wow,I+Want+Candy
Loverboy,Working+for+the+Weekend
Huey+Lewis+&+The+News,The+Power+Of+Love+-+2006+Digital+Remaster
The+Bangles,Walk+Like+an+Egyptian
REO+Speedwagon,Can%27t+Fight+This+Feeling
The+Pointer+Sisters,I%27m+So+Excited
Whitney+Houston,How+Will+I+Know
a-ha,Take+On+Me
Wham!,Wake+Me+Up+Before+You+Go-Go
Lionel+Richie,All+Night+Long+(All+Night)+-+Single+Version
Gloria+Estefan+And+Miami+Sound+Machine,Conga
"Earth,+Wind+&+Fire",Let%27s+Groove
Deniece+Williams,Let%27s+Hear+It+for+the+Boy
Rick+Astley,Never+Gonna+Give+You+Up
Starship,We+Built+This+City
Sade,Smooth+Operator+-+Single+Version
Daryl+Hall+&+John+Oates,Maneater+-+Remastered
Simple+Minds,Don%27t+You+(Forget+About+Me)
Til+Tuesday,Voices+Carry
Duran+Duran,Hungry+Like+The+Wolf+-+2009+Remastered+Version
The+Romantics,What+I+Like+About+You
Europe,The+Final+Countdown
Van+Halen,Jump
Kenny+Loggins,Danger+Zone
The+Outfield,Your+Love
"Bill+Medley,+Jennifer+Warnes",(I%27ve+Had)+The+Time+of+My+Life
Bruce+Springsteen,Born+in+the+U.S.A.
"Rob+Base,+DJ+E-Z+Rock",It+Takes+Two
David+Bowie,Let%27s+Dance+-+Single+Version+Remastered
Michael+Jackson,Thriller+-+Single+Version
New+Kids+On+The+Block,You+Got+It+(The+Right+Stuff)
Bonnie+Tyler,Total+Eclipse+of+the+Heart
"The+Clash,+Mick+Jones",Rock+the+Casbah
Nena,99+Red+Balloons
UB40,Red+Red+Wine+-+Edit
Toni+Basil,Mickey
Aretha+Franklin,Freeway+of+Love
Quiet+Riot,Cum+on+Feel+the+Noize
Ozzy+Osbourne,Crazy+Train+-+Remastered
The+Police,Every+Breath+You+Take
Survivor,Eye+of+the+Tiger
Run_D.M.C.,It%27s+Tricky
Tears+For+Fears,Everybody+Wants+To+Rule+The+World
Luther+Vandross,Never+Too+Much
Billy+Joel,We+Didn%27t+Start+the+Fire
Guns+N%27+Roses,Sweet+Child+O%27+Mine
George+Michael,Careless+Whisper
DEVO,Whip+It
Talking+Heads,Burning+Down+The+House+(45+Version)
Depeche+Mode,Just+Can%27t+Get+Enough+-+2006+Digital+Remaster
Eddie+Money,Take+Me+Home+Tonight
John+Mellencamp,Jack+&+Diane
Whitney+Houston,Saving+All+My+Love+for+You
Marvin+Gaye,Sexual+Healing
Genesis,Invisible+Touch+-+2007+Remastered+Version
Toto,Rosanna
Dexys+Midnight+Runners,Come+On+Eileen
The+Psychedelic+Furs,Pretty+in+Pink
Men+At+Work,Who+Can+It+Be+Now?
Culture+Club,Karma+Chameleon
Cyndi+Lauper,Time+After+Time
The+Clash,Should+I+Stay+or+Should+I+Go+-+Remastered
AC/DC,Back+In+Black
Berlin,"Take+My+Breath+Away+-+Love+Theme+from+Top+Gun"""""
Cutting+Crew,(I+Just)+Died+in+Your+Arms
Yes,Owner+Of+A+Lonely+Heart
Taylor+Dayne,Tell+It+to+My+Heart
Katrina+&+The+Waves,Walking+On+Sunshine
Dolly+Parton,9+to+5
Billy+Idol,White+Wedding+-+Part+1+-+2001-+Remaster
REO+Speedwagon,Keep+on+Loving+You+-+Remastered
Bonnie+Tyler,Holding+Out+for+a+Hero
Falco,Rock+Me+Amadeus+-+The+Gold+Mix
Thompson+Twins,Hold+Me+Now
Martika,Toy+Soldiers
Phil+Collins,In+The+Air+Tonight
"Bruce+Hornsby,+The+Range",The+Way+It+Is
Modern+English,I+Melt+With+You
The+Bangles,Manic+Monday
