Artist Name,Track Name
Aziz+Ansari,Aziz+Ansari
Aziz+Ansari,A+Chunk+on+Marriage
Aziz+Ansari,"Proposal+Stories:+We+Were+at+a+5+Star+Restaurant."""""
Aziz+Ansari,Marriage+is+an+Insane+Proposal
Aziz+Ansari,The+Chick-Fil-A+Dilemma
Aziz+Ansari,My+Cousins+in+India/Arranged+Marriages
Jim+Gaffigan,Live+Longer
Jim+Gaffigan,Can%27t+Stop+Eating
Jim+Gaffigan,Weddings
Jim+Gaffigan,Donuts
Jim+Gaffigan,Bowling
Jim+Gaffigan,Disney
Louis+C.K.,Being+Single+Again
Louis+C.K.,Intro+/+Dead+People
Louis+C.K.,Hot+Girls+In+Bars+And+Their+Dude+Counterparts
Louis+C.K.,Dumb+Thoughts
Louis+C.K.,Cell+Phones+And+Flying
Daniel+Tosh,TWO
Daniel+Tosh,ONE
Daniel+Tosh,THREE
Daniel+Tosh,5
Daniel+Tosh,FOUR
Mitch+Hedberg,Sandwiches
Mitch+Hedberg,The+Improv+Fairy+Tale
Mitch+Hedberg,Candy+Bars
Mitch+Hedberg,Door+Deal
Mitch+Hedberg,"Not+Track+Five,+Not+Chainsaw+Juggler"
Demetri+Martin,People+Watching
Demetri+Martin,Yep
Demetri+Martin,OK
Demetri+Martin,Some+Jokes+-+These+Are+Jokes
Demetri+Martin,Other+Jokes+-+These+Are+Jokes
Anthony+Jeselnik,Pleased+to+Meet+You
Anthony+Jeselnik,School+Sucks
Anthony+Jeselnik,Romance
Anthony+Jeselnik,Fun+Family
Anthony+Jeselnik,Bad+Parents
Robin+Williams,What%27s+Up+DC?!?+Chicago/Rio+Olympics+-+Explicit+Audio
Robin+Williams,"Fires,+Weed+And+The+Weather+-+Explicit+Audio"
Robin+Williams,Hybrids+And+Animals+-+Explicit+Audio
Robin+Williams,Healthcare+And+Heart+Surgery+-+Explicit+Audio
Robin+Williams,"Bush,+Cheney,+And+The+Obamas+-+Explicit+Audio"
Amy+Schumer,Masturbating
Amy+Schumer,H.S.+Crush
Amy+Schumer,Cockblock
Amy+Schumer,Swedes
Amy+Schumer,Jews
John+Mulaney,Blacking+Out+and+Making+Money
John+Mulaney,The+Salt+and+Pepper+Diner
John+Mulaney,The+Worse+Word
John+Mulaney,Special+Victims+And+Ice-T
John+Mulaney,A+Child+With+Lawyers
Bill+Burr,Local+Reference+/+Crowd+Ass-Kiss+Pt.+One
Bill+Burr,Oddly+Racist
Bill+Burr,Make+My+Sandwich
Bill+Burr,Chain+Stores
Bill+Burr,Pro+Swine+Flu
Wyatt+Cenac,Some+Thoughts+About+Television
Wyatt+Cenac,Dogs+Are+Racist?
Wyatt+Cenac,Cats+On+The+Internet
Wyatt+Cenac,Gay+Marriage+&+My+Uncle+Pete
Wyatt+Cenac,Medieval+Times
Dane+Cook,Pissed+Off
Dane+Cook,Obama
Dane+Cook,Self+Assassination
Dane+Cook,Vernacular
Dane+Cook,Banter+#1
Kevin+Hart,Does+This+Make+Me+Gay?
Kevin+Hart,One+Of+My+Biggest+Fears
Kevin+Hart,UFC+Fighters
Kevin+Hart,Situation+On+The+Phone
Kevin+Hart,My+Kids
Natasha+Leggero,"Faux+Fur,+Diamonds+&+Jizz"
Natasha+Leggero,Vegas
Natasha+Leggero,"Girl,+You+Ain%27t+Got+No+Arms"
Natasha+Leggero,Hip+Hop
Natasha+Leggero,As+Little+As+Possible
Flight+of+the+Conchords,Hurt+Feelings
Flight+of+the+Conchords,Hiphopopotamus+vs.+Rhymenoceros
Flight+of+the+Conchords,The+Most+Beautiful+Girl+(In+The+Room)
Flight+of+the+Conchords,Business+Time
Flight+of+the+Conchords,Too+Many+Dicks+(On+The+Dance+Floor)
Bo+Burnham,Nerds+-+Studio
Bo+Burnham,I%27m+Bo+Yo
Bo+Burnham,From+God%27s+Perspective
Bo+Burnham,OH+BO+(studio)
Bo+Burnham,"WORDS,+WORDS,+WORDS+(studio)"
Jon+Lajoie,Everyday+Normal+Guy+2
Jon+Lajoie,Show+Me+Your+Genitals
Jon+Lajoie,F**k+Everything
Jon+Lajoie,Everyday+Normal+Guy
Jon+Lajoie,I+Kill+People
Tig+Notaro,Popular+Phrases
Tig+Notaro,Can+You+Believe+It
Tig+Notaro,"Hello,+I+Have+Cancer"
Tig+Notaro,Tit+for+Tat
Tig+Notaro,You%27re+Gonna+Get+Cancer!
Maria+Bamford,Over+40+and+Dating
Maria+Bamford,Baby+Jesus
Maria+Bamford,My+Sister
Maria+Bamford,Right+and+Wrong
Maria+Bamford,Getting+Older
