Artist Name,Track Name
Luke+Bryan,"Huntin%27,+Fishin%27+And+Lovin%27+Every+Day"
Russell+Dickerson,Yours
Keith+Urban,Blue+Ain%27t+Your+Color
Sturgill+Simpson,Brace+For+Impact+(Live+A+Little)
Dustin+Lynch,Seein%27+Red
The+Cadillac+Three,Drunk+Like+You
Drew+Baldridge,Rebound
Jon+Pardi,Head+Over+Boots
Drake+White,Livin%27+The+Dream
"Florida+Georgia+Line,+Tim+McGraw",May+We+All
Trent+Harmon,ThereÍs+A+Girl
Maren+Morris,80s+Mercedes
Dan+++Shay,From+the+Ground+Up
Rascal+Flatts,I+Like+The+Sound+Of+That
Tim+McGraw,How+I%27ll+Always+Be
Brothers+Osborne,Stay+A+Little+Longer
"Josh+Abbott+Band,+Carly+Pearce",Wasn%27t+That+Drunk+(W/+Carly+Pearce)+[Act+2]
Kelsea+Ballerini,Peter+Pan
Frankie+Ballard,It+All+Started+with+a+Beer
David+Nail,Night%27s+On+Fire
Tucker+Beathard,Rock+On
Cole+Swindell,Middle+of+a+Memory
Old+Dominion,Song+for+Another+Time
Chris+Lane,For+Her
Luke+Combs,Hurricane
Brett+Young,Sleep+Without+You
Brothers+Osborne,21+Summer
Thomas+Rhett,T-Shirt
Dylan+Scott,My+Girl
"Brad+Paisley,+Demi+Lovato",Without+a+Fight
Granger+Smith,Backroad+Song
Kip+Moore,Running+For+You
The+Band+Perry,Comeback+Kid
Sam+Hunt,Make+You+Miss+Me
Old+Dominion,Snapback
Thomas+Rhett,Vacation
Walker+McGuire,Til+Tomorrow
Billy+Currington,It+Don%27t+Hurt+Like+It+Used+To
Morgan+Wallen,The+Way+I+Talk
Keith+Urban,Wasted+Time
Blake+Shelton,She%27s+Got+a+Way+With+Words
Chase+Rice,Everybody+We+Know+Does
Luke+Bryan,Move
Eric+Church,Record+Year
Miranda+Lambert,Vice
Tim+McGraw,Humble+And+Kind
"Dierks+Bentley,+Elle+King",Different+For+Girls
"Kenny+Chesney,+P!nk",Setting+the+World+On+Fire
Brett+Eldredge,Wanna+Be+That+Song
Florida+Georgia+Line,H.O.L.Y.
LANco,Long+Live+Tonight
