Artist Name,Track Name
Jon+Pardi,Head+Over+Boots
Sam+Hunt,Make+You+Miss+Me
Chris+Lane,Fix
Eric+Church,Record+Year
Justin+Moore,You+Look+Like+I+Need+A+Drink
"Dierks+Bentley,+Elle+King",Different+For+Girls
Florida+Georgia+Line,H.O.L.Y.
Kip+Moore,Running+For+You
Tucker+Beathard,Rock+On
Zac+Brown+Band,Castaway
Billy+Currington,It+Don%27t+Hurt+Like+It+Used+To
Brett+Young,Sleep+Without+You
Luke+Bryan,Move
Drake+White,Livin%27+The+Dream
Jennifer+Nettles,Unlove+You
Tim+McGraw,How+I%27ll+Always+Be
Brothers+Osborne,21+Summer
Chris+Stapleton,Parachute
Thomas+Rhett,Vacation
Josh+Turner,Hometown+Girl
"Florida+Georgia+Line,+Tim+McGraw",May+We+All
The+Band+Perry,Comeback+Kid
Easton+Corbin,Are+You+With+Me
Trent+Harmon,There’s+A+Girl
Dan+++Shay,From+the+Ground+Up
Eric+Paslay,Friday+Night
Jake+Owen,American+Country+Love+Song
Dierks+Bentley,Drunk+On+A+Plane
Kelsea+Ballerini,Peter+Pan
Drake+White,It+Feels+Good
Blake+Shelton,She%27s+Got+a+Way+With+Words
Tim+McGraw,Humble+And+Kind
LOCASH,I+Know+Somebody
Luke+Bryan,"Huntin%27,+Fishin%27+And+Lovin%27+Every+Day"
William+Michael+Morgan,I+Met+a+Girl
Lady+Antebellum,Bartender
"Brad+Paisley,+Demi+Lovato",Without+a+Fight
Thomas+Rhett,T-Shirt
"Big+&+Rich,+Tim+McGraw",Lovin%27+Lately
Keith+Urban,Wasted+Time
James+Barker+Band,Lawn+Chair+Lazy
Little+Big+Town,Day+Drinking
Gary+Allan,Do+You+Wish+It+Was+Me?
Sam+Hunt,Take+Your+Time
Darius+Rucker,If+I+Told+You
Luke+Bryan,Play+It+Again
Brantley+Gilbert,The+Weekend
A+Thousand+Horses,Smoke
Eli+Young+Band,Saltwater+Gospel
Billy+Currington,Don%27t+It
Mickey+Guyton,Heartbreak+Song
Florida+Georgia+Line,Anything+Goes
Keith+Urban,Blue+Ain%27t+Your+Color
Canaan+Smith,Love+You+Like+That
Lauren+Alaina,Road+Less+Traveled
Eric+Church,Springsteen
Toby+Keith,A+Few+More+Cowboys
Maddie+&+Tae,Girl+In+A+Country+Song
Eric+Paslay,Angels+In+This+Town
The+Band+Perry,Better+Dig+Two
Aaron+Lewis,That+Ain’t+Country
