Artist Name,Track Name
Shane+Filan,Beautiful+To+Me
Joel+Adams,Please+Don%27t+Go
Nano,Perfect+Melody
The+Lumineers,Ophelia
Ed+Sheeran,Thinking+Out+Loud
Charlie+Puth,Some+Type+Of+Love
Kacey+Musgraves,Dandelion
Roo+Panes,Tiger+Striped+Sky
Sweetfire,Bang+My+Head+-+Radio+Version
"FRENSHIP,+Emily+Warren",Capsize
Astrid+S,Running+Out+-+Live+From+The+Studio+/+2016
Howie+Day,Collide+-+Chris+Lord-Alge+Mix+aka+Radio+Edit
Alex+Vargas,Solid+Ground
The+Shires,I+Just+Wanna+Love+You
Jonah+Tolchin,Diamond+Mind
Gavin+James,Till+The+Sun+Comes+Up
"Charlie+Puth,+Selena+Gomez",We+Don%27t+Talk+Anymore+(feat.+Selena+Gomez)
"Cocoon,+Natalie+Prass",Retreat
The+Head+and+the+Heart,Lost+In+My+Mind
Sia,Unstoppable
"Kylie+Minogue,+James+Corden",Only+You+(with+James+Corden)
Cody+Simpson,Summertime+Of+Our+Lives
Jasmine+Thompson,Like+I%27m+Gonna+Lose+You
Jason+Castro,Good+Love
Jackie+Greene,Trust+Somebody
Taken+By+Trees,To+Lose+Someone
Alicia+Keys,Distance+And+Time
Norah+Jones,Chasing+Pirates
Billy+Joel,Vienna
Rumer,Am+I+Forgiven?
Gavin+James,Nervous
The+Beautiful+Girls,After+All+This+Time
William+Bell,The+Three+Of+Me
Iron+&+Wine,The+Desert+Babbler
Ruth+B,Lost+Boy
Scarlet+Pleasure,Windy
Thyra,Ugly+Heart
Jack+Johnson,Good+People
Chris+Call,Stitches+-+Acoustic+Version
Brett+Dennen,Cassidy
Adele,When+We+Were+Young
Marc+Broussard,Love+And+Happiness
Jarryd+James,Do+You+Remember
Twenty+One+Pilots,Heathens
Jaye+P.+Morgan,Here+Is+Where+Your+Love+Belongs
Norah+Jones,Carry+On
Lucie+Silvas,Perfect
The+Band+Perry,Comeback+Kid
Charlie+Puth,One+Call+Away
Vance+Joy,Georgia
Lykke+Li,I+Never+Learn
First+Aid+Kit,America
Chris+Mann,Roads
Train,Marry+Me
High+Highs,Bridge
Joe+Cocker,You+Are+So+Beautiful
Amos+Lee,Stay+With+Me
"Avicii,+Nicky+Romero",I+Could+Be+The+One+-+Noonie+Bao+Acoustic+Mix
Electric+Light+Orchestra,When+I+Was+a+Boy
Adele,Hello
Brian+McKnight,Back+At+One
Lukas+Graham,7+Years
Avicii,Feeling+Good
"Alessia+Cara,+Sebastian+Kole",Stone
Mr.+Probz,Nothing+Really+Matters
The+1975,Nana
Sweetfire,Rude+-+Acoustic+Version
Julia+Sheer+&+Jon+D,Little+Talks
Dustin+Tebbutt,The+Breach
The+Civil+Wars,Dust+to+Dust
Cam,Burning+House
Max+Jury,Home
Rod+Stewart,Have+I+Told+You+Lately+-+2008+Remastered+Version
Danny+O%27Keefe,Quits
Sturgill+Simpson,Breakers+Roar
Air,Cherry+Blossom+Girl
Lillie+McCloud,The+Other+Part+of+Me
Lifehouse,You+And+Me
"Dionne+Warwick,+M_a",Close+To+You
Tom+Waits,I+Hope+That+I+Don%27t+Fall+In+Love+With+You
Tobias+Jesso+Jr.,Without+You+(Alternate+Version)
Ben+L%27Oncle+Soul,Walk+The+Line
Hamilton,Heroes+-+Acoustic+Version
Paolo+Nutini,Last+Request
Damien+Rice,I+Don%27t+Want+To+Change+You
