Artist Name,Track Name
"Martin+Garrix,+Bebe+Rexha",In+The+Name+Of+Love
AREA21,Spaceships
"Don+Diablo,+DYU",Drifter
"Michael+Brun,+Louie",All+I+Ever+Wanted
Vicetone,Nevada
"MUNA,+TiÔsto",Winterbreak+-+TiÔsto%27s+Deep+House+Remix
"Markus+Schulz,+Mia+Koo",Summer+Dream
"Tommie+Sunshine,+Halfway+House,+Sarah+Hudson",Can%27t+Get+Enough+-+Radio+Edit
The+Weeknd,Can%27t+Feel+My+Face+-+Martin+Garrix+Remix
"Lenx+&+Denx,+Andy+Bianchini",Puzzles
"Sam+Feldt,+Lucas+&+Steve,+Wulf",Summer+on+You
"Muzzaik,+Stadiumx",So+Much+Love
"Gryffin,+Josef+Salvat,+LE+YOUTH",Heading+Home+-+Le+Youth+Remix
"GTA,+Wax+Motif",Get+It+All
Nicky+Romero,The+Moment+(Novell)
Mike+Hawkins,I+Just+Wanna+Know
"Thomas+Gold,+M.BRONX",Saints+&+Sinners
"Feenixpawl,+APEK",Quicksand
"Hardwell,+Jake+Reese",Run+Wild+-+Alternative+Edit+Mix+Cut
"Suyano,+Rivero,+Chloe+Stamp",Shockwave
"Martin+Garrix,+John+&+Michel",Now+That+I%27ve+Found+You+(feat.+John+&+Michel)
"Sultan+++Shepard+,+Guilty+Pleasure,+Kreesha+Turner",Bring+Me+Back+-+Guilty+Pleasure+Remix
Dusky,Ingrid+Is+A+Hybrid
"Era+Istrefi,+Marshmello",Bonbon+-+Marshmello+Remix
"Snavs,+Fabian+Mazur",Exhale
Ashley+Wallbridge,Es+Vedra
Wolfgang+Gartner,Saved
"Zeds+Dead,+Diplo,+Elliphant",Blame
"Bob+Marley+&+The+Wailers,+LVNDSCAPE,+Bolier",Is+This+Love+-+Remix
"Headhunterz,+Skytech",Kundalini
Madison+Beer,Something+Sweet+-+Exit+Friendzone+Remix
"Gorgon+City,+Vaults",All+Four+Walls
"Eva+Shaw,+Poo+Bear",Rise+N+Shine
Martin+Garrix,Oops
Bastille,Good+Grief+-+Don+Diablo+Remix
"Laidback+Luke,+Yves+V,+Hawkboy",To+The+Beat+(feat.+Hawkboy)
"Manse,+Emily+Harder",All+Around
"Cash+Cash,+Christina+Perri",Hero+(feat.+Christina+Perri)
"Kill+The+Buzz,+Harrison",Once+Upon+A+Time
"Armin+van+Buuren,+Human+Resource",Dominator
Arty,Bloodfire
"Major+Lazer,+Justin+Bieber,+Mø",Cold+Water
"3LAU,+Yeah+Boy,+Sultan+++Shepard+",Is+It+Love+-+Sultan+++Shepard+Remix
"Martin+Garrix,+Third+Party",Lions+in+the+Wild
"WildOnes,+David+Julien",Nobody+But+You
"Steve+Aoki,+Boehm,+WALK+THE+MOON,+Breathe+Carolina",Back+2+U+-+Breathe+Carolina+Remix
Cosmic+Gate,am2pm+(Radio+Edit)
"Arman+Cekin,+Paul+Rey",California+Dreaming+(feat.+Paul+Rey)
Marshmello,Alone
"Tritonal,+Angel+Taylor,+Matt+Fax",Getaway+-+Matt+Fax+Remix
