Artist Name,Track Name
"Dawn+Landes,+Piers+Faccini",Heaven%27s+Gate
The+Tallest+Man+On+Earth,Time+Of+The+Blue
Nadia+Reid,Call+the+Days
BigBee+of+the+Whitetree,Nez+Perce
J.+Tillman,Love+No+Less+Worthy
The+Barr+Brothers,Even+The+Darkness+Has+Arms
Little+May,Boardwalks
Dustin+Tebbutt,Plans
Edward+Sharpe+&+The+Magnetic+Zeros,Free+Stuff
Foy+Vance,She+Burns
Little+Green+Cars,The+Song+They+Play+Every+Night
Matthew+And+The+Atlas,Elijah
Haley+Heynderickx,Drinking+Song
Bibio,Petals
Isaac+Gracie,All+The+Burning+Lovers
The+Wealthy+West,Ghost+in+the+Garden
flora+cash,Nightmare
Westerman,Mother+Song
Fossil+Collective,Disarm
Devendra+Banhart,Middle+Names
Julien+Baker,Sprained+Ankle
Escondido,Try
Margaret+Glaspy,Somebody+To+Anybody
The+Milk+Carton+Kids,Wish+You+Were+Here
Laura+Gibson,Damn+Sure
The+Oh+Hellos,Dear+Wormwood
Edward+Sharpe+&+The+Magnetic+Zeros,Somewhere
The+Head+and+the+Heart,Winter+Song
The+Weather+Station,What+Am+I+Going+To+Do+(With+Everything+I+Know)
Ruby+the+RabbitFoot,Ways
The+White+Album,Kings+And+Aces
Wilsen,Garden
"Tiny+Ruins,+Hamish+Kilgour",Hurtling+Through
Benedict+Benjamin,Better+Man
Deer+Bear,Birth+and+Death+Are+Sisters
Darlingside,White+Horses
Kevin+Morby,Black+Flowers
Kishi+Bashi,Philosophize+In+It!+Chemicalize+With+It!
Reuben+Hollebon,Faces
Hurray+For+The+Riff+Raff,The+Body+Electric
"Sara+Watkins,+Sarah+Jarosz,+Aoife+O%27Donovan",Be+My+Husband
Wyvern+Lingo,Used
Odetta+Hartman,Creektime
Ed+Tullett,EBB
Silences,Emma
John+Joseph+Brill,The+Grape+and+the+Grain
The+Little+Stevies,Loving+Man
Mirel+Wagner,Oak+Tree
French+For+Rabbits,Goat
The+Barr+Brothers,Love+Ain%27t+Enough
Howard,Spelled+Out
Sufjan+Stevens,Should+Have+Known+Better
Laura+Marling,Divine
Cereus+Bright,Stella+-+Audiotree+Live+Version
Dylan+LeBlanc,Easy+Way+Out
S.+Carey,Chrysalis
Mimicking+Birds,Walking+in+the+Air
Daughter,Shallows+(4AD+Session)
RY+X,Berlin
Morten+Myklebust,Venice
çsgeir,Was+There+Nothing?
The+Staves,Steady
Venus+and+the+Moon,Marry+Me
Half+Moon+Run,Devil+May+Care
Blessed+Feathers,Wide+World
My+Bubba,Dogs+Laying+Around+Playing
Jon+and+Roy,Come+Again
Sam+Amidon,Lucky+Cloud
Falls,Hey
Luray,Promise+of+Lakes
SOAK,B+a+noBody+(Spotify+Session)
Family+of+the+Year,May+I+Miss+You
Aldous+Harding,Hunter
Austin+Basham,All+Is+Well
Villagers,The+Soul+Serene
Robby+Hecht,When+I+Found+You
Roo+Panes,Tiger+Striped+Sky
Bryan+John+Appleby,Costanoan+Bones
Liza+Anne,Lost
Ben+Howard,In+Dreams
Odessa,Hummed+Low
Marissa+Nadler,Leave+the+Light+On+-+Demo
River+Whyless,Life+Crisis
Kaleo,All+The+Pretty+Girls
Harrison+Storm,Broken+Feather
Nick+Mulvey,Fever+To+The+Form
Emilie+&+Ogden,Ten+Thousand
Alberta+Cross,You%27ll+Be+Fine
Seth+Avett+&+Jessica+Lea+Mayfield,Between+the+Bars
Daggy+Man,What+You+Desire
Matt+Kivel,Eleison
Lola+Marsh,Sirens
"Bonnie+Prince""+Billy""",Intentional+Injury+-+From+The+HBO+Series+True+Detective
Dawes,Things+Happen
Sharon+Van+Etten,Every+Time+the+Sun+Comes+Up
Kail+Baxley,Mirrors+of+Paradise
Steve+Tyssen,Without+a+Bottle
Dana+Sipos,Morningside
Lucy+Rose,Middle+of+the+Bed
Holly+Miranda,Mark+My+Words
Samantha+Crain,Outside+the+Pale
This+Is+The+Kit,Bashed+Out
Isobel+Anderson,Waiting+For+You
Hozier,Work+Song
Jason+Molina,Owl+and+Raven
Jos_+Gonzàlez,Leaf+Off+/+The+Cave
Luluc,Without+a+Face
Brown+Bird,Down+to+the+River
The+Lowest+Pair,In+The+During+Of+A+Moment
Steve+Smyth,Written+Or+Spoken
The+Head+and+the+Heart,Lost+in+My+Mind
Down+Like+Silver,Light+That+Match
Lowland+Hum,Nightdriving
Stu+Larsen,Thirteen+Sad+Farewells
Lia+Rose,Wolves
Ciaran+Lavery,Left+for+America
Other+Lives,Reconfiguration
Phosphorescent,Song+For+Zula+-+Live+From+Spotify+London
Jake+Klar,Crescent+St.+Blues
"Iron+&+Wine,+Ben+Bridwell",This+Must+Be+The+Place
Andrew+Bird,Giant+of+Illinois
The+Woodlands,Bronze
Sydney+Wayser,Dirty+Work
"Brittsommar,+Sawyer+Gebauer,+Brad+K+Dollar,+Andrew+Laubacher,+Jason+Crosby,+Lars+Åhlund",Can%27t+Breathe+On+My+Own
Stornoway,We+Were+Giants
The+Decemberists,Till+the+Water%27s+All+Long+Gone
Monica+Heldal,Boy+From+The+North
C+Duncan,For
Lay+Low,Our+Conversations
William+Fitzsimmons,Fortune+-+Acoustic
Kings+of+Convenience,Me+In+You
Angus+&+Julia+Stone,Santa+Monica+Dream
Chadwick+Stokes,New+Haven+(feat.+Lucius)
Tula,No+Name
Tiny+Ruins,"Me+at+the+Museum,+You+in+the+Wintergardens"
Gareth+Dickson,"Song,+Woman+and+Wine"
St.+Even,Dreams/My+Rope
"Matt+Phillips,+Phil+Harmonic",Bluegrass
