Artist Name,Track Name
"James+Brown,+Fred+Wesley,+The+J.B.%27s",People+Get+Up+And+Drive+Your+Funky+Soul+-+Remix
Parliament,P-Funk+(Wants+To+Get+Funked+Up)
Bootsy+Collins,I%27d+Rather+Be+With+You
Graham+Central+Station,The+Jam
"Rufus,+Chaka+Khan",Tell+Me+Something+Good
The+Temptations,Papa+Was+A+Rollin%27+Stone+-+Single+Version
Mandrill,Fencewalk
War,The+Cisco+Kid
Stevie+Wonder,Superstition
The+Isley+Brothers,It%27s+Your+Thing
Ohio+Players,Fire
Betty+Wright,Clean+Up+Woman
"Earth,+Wind+&+Fire",Mighty+Mighty
Commodores,Slippery+When+Wet
Cameo,Keep+It+Hot+-+Edit
The+Bar-Kays,Holy+Ghost
"Slave,+Jimmy+Douglas",Slide
The+Undisputed+Truth,Smiling+Faces+Sometimes
Curtis+Mayfield,Pusherman
Dazz+Band,Let+It+Whip
Zapp,More+Bounce+To+The+Ounce
One+Way,Cutie+Pie
James+Brown,The+Payback+-+Part+1
The+New+Birth,I+Can+Understand+It
Con+Funk+Shun,Ffun
Rick+James,Mary+Jane
Average+White+Band,School+Boy+Crush
"Larry+Graham,+Graham+Central+Station","Boogie+Witcha,+Baby"
Isaac+Hayes,Hyperbolicsyllablecsesquedalymistic+-+Album+-+Remaster
"Chuck+Brown+and+the+Soul+Searchers,+Chuck+Brown",Bustin%27+Loose
Tom+Browne,Funkin%27+for+Jamaica
The+Pointer+Sisters,Yes+We+Can+Can
Bootsy+Collins,Bootzilla
Charles+Wright+&+The+Watts+103rd+Street+Rhythm+Band,Express+Yourself+(Remastered+Version)
Kool+&+The+Gang,Jungle+Boogie
"Earth,+Wind+&+Fire",Getaway
"Rufus,+Chaka+Khan",Dance+Wit+Me
The+Bar-Kays,Shake+Your+Rump+To+The+Funk
Cameo,It%27s+Serious
The+Gap+Band,Shake
Fred+Wesley+&+The+J.B.%27s,Watermelon+Man
Parliament,Give+Up+The+Funk+(Tear+The+Roof+Off+The+Sucker)
Bobby+Womack,It%27s+Party+Time
Eddie+Kendricks,Boogie+Down+-+Single+Version
Commodores,Brick+House
Ohio+Players,Love+Rollercoaster
Wild+Cherry,Play+That+Funky+Music
"Earth,+Wind+&+Fire",Shining+Star
James+Brown,Get+Up+Offa+That+Thing
The+Brothers+Johnson,Get+The+Funk+Out+Ma+Face
Kool+&+The+Gang,Get+Down+On+It+-+Single+Version
Parliament,Flash+Light
Curtis+Mayfield,Superfly
