Artist Name,Track Name
Pok_mon,Pokemon+Theme
New+Order,Elegia+-+2015+Remastered+Version
Ramin+Djawadi,Main+Titles
John+Ottman,Pyramid+Collapse+/+Main+Titles
Ninja+Turtles,Teenage+Mutant+Ninja+Turtles+Theme
Henry+Jackman,A+Thief%27s+End
TV+Theme+Tune+Factory,The+Walking+Dead+Theme
"John+Paesano,+Braden+Kimball",Main+Title
Sean+Callery,Jessica+Jones+Main+Title
"Hans+Zimmer,+Junkie+XL",Fight+Night+(Bonus+Track)
Junkie+XL,Man+in+a+Red+Suit
"John+Williams,+Boston+Pops+Orchestra",Star+Wars:+Main+Title
"John+Williams,+John+Neal",The+Imperial+March+(Darth+Vader%27s+Theme)
"The+City+of+Prague+Philharmonic+Orchestra,+Nic+Raine",Back+To+The+Future+(Main+Theme)
John+Williams,Theme+From+Superman+-+Concert+Version
John+Barry+Orchestra,James+Bond+Theme
John+Williams,Theme+From+Jurassic+Park+-+Jurassic+Park/Soundtrack+Version
"Pedro+Bromfman,+Gavin+Greenaway",Title+Card
Oh+No,Welcome+To+Los+Santos
David+Buckley,Arkham+Knight+-+Main+Theme
"Harry+Gregson-Williams,+London+Philharmonic+Orchestra,+Andrew+Skeet",Metal+Gear+Solid:+Sons+of+Liberty+Theme
Junior+Brown,Better+Call+Saul
"Ron+Grainer,+Murray+Gold",Doctor+Who+Theme+_+TV+Version
Super+Mario+Bros,Super+Mario+Bros.+(Theme)
John+Williams,End+Credits+-+Jurassic+Park/Soundtrack+Version
Dave+Porter,Breaking+Bad+Main+Title+Theme+(Extended)
"Ramin+Djawadi,+Tom+Morello",Pacific+Rim+(feat.+Tom+Morello)
Hanny+Williams,"Terminator+Theme+-+From+""Terminator"""
Steve+Jablonsky,Autobots
Hans+Zimmer,Drink+Up+Me+Hearties+Yo+Ho+-+Score
John+Williams,End+Credits
Alan+Silvestri,The+Avengers
John+Williams,End+Credits+-+Soundtrack+Reissue+(2002)
John+Williams,Hedwig%27s+Theme
Bill+Conti,"Gonna+Fly+Now+(Theme+From+Rocky"")+-+2006+-+Remaster"""
John+Carpenter,Halloween+Theme+-+Main+Title
John+Williams,Main+Title+And+First+Victim
Charlie+Clouser,The+Final+Zepp
Bernard+Herrmann,The+Murder
Jerry+Goldsmith,The+Twilight+Zone
"Danny+Elfman,+Artie+Kane",Main+Title+Theme
"Berliner+Philharmoniker,+Karl+B_hm",Prelude+(Sonnenaufgang)
Nino+Rota,Main+Title+(The+Godfather+Waltz)
Vic+Mizzy+and+His+Orchestra+and+Chorus,"The+Addams+Family:+Main+Theme+(From+the+Television+Series+The+Addams+Family"")"""
George+Shaw,X-MEN+Cartoon+Theme+for+Orchestra
Ray+Conniff,"Theme+from+""S.W.A.T."""
8+Bit+Universe,Tetris+Theme+-+8-Bit+Version
Spongebob+Squarepants,SpongeBob+SquarePants+Theme+Song
The+Simpsons,The+Simpsons
