Artist Name,Track Name
"French+Montana,+Drake",No+Shopping
"21+Savage,+Metro+Boomin,+Future",X+(feat.+Future)
"Rae+Sremmurd,+Gucci+Mane",Black+Beatles
"Rob+$tone,+J.+Davi$,+Spooks",Chill+Bill
"D.R.A.M.,+Lil+Yachty",Broccoli
PARTYNEXTDOOR,Only+U
Drake,Controlla
Tory+Lanez,LUV
"Young+Thug,+Travi$+Scott,+Quavo",Pick+Up+the+Phone
"Lil+Uzi+Vert,+Future",Seven+Million+(feat.+Future)
"Ty+Dolla+$ign,+Future",Campaign+(feat.+Future)
Desiigner,Tiimmy+Turner
Young+M.a.,OOOUUU
Lil+Uzi+Vert,Money+Longer
A+Boogie+Wit+da+Hoodie,My+Shit
Dae+Dae,"Wat+U+Mean+(Aye,+Aye,+Aye)"
2+Chainz,Ghetto
"Gucci+Mane,+Drake",Back+On+Road
Kevin+Gates,Time+For+That
Russ,What+They+Want
"Chance+The+Rapper,+Lil+Wayne,+2+Chainz",No+Problem+(feat.+Lil+Wayne+&+2+Chainz)
ScHoolboy+Q,THat+Part+-+Black+Hippy+Remix
"Madeintyo,+2+Chainz",I+Want+(feat.+2+Chainz)
"Wiz+Khalifa,+Lil+Uzi+Vert",Pull+Up+(feat.+Lil+Uzi+Vert)
"French+Montana,+Kodak+Black",Lockjaw
Future,Wicked
"Fat+Joe,+Remy+Ma,+French+Montana,+Ry+SO+Valid",Cookin
"DJ+Mustard,+Nicki+Minaj,+Jeremih",Don%27t+Hurt+Me
"Drake,+Rihanna",Too+Good
PARTYNEXTDOOR,Don%27t+Know+How
Joey+Bada$$,Devastated
"Mike+WiLL+Made-It,+Rihanna",Nothing+Is+Promised
"Usher,+Young+Thug",No+Limit
Kanye+West,Father+Stretch+My+Hands+Pt.+1
Logic,Flexicution
Roy+Woods,Why
PARTYNEXTDOOR,1942
"Pusha+T,+JAY+Z",Drug+Dealers+Anonymous
"DJ+Drama,+Chris+Brown,+Skeme,+Lyquin","Wishing+(feat.+Chris+Brown,+Skeme+&+Lyquin)"
"Gucci+Mane,+Kanye+West",P****+Print+(feat.+Kanye+West)
"2+Chainz,+Lil+Wayne",MFN+Right+-+Remix
"The+Game,+Jeremih",All+Eyez+(feat.+Jeremih)
Wale,MY+PYT
"Mac+Miller,+Anderson+Paak",Dang!+(feat.+Anderson+.Paak)
Lil+Uzi+Vert,You+Was+Right
"Gucci+Mane,+Young+Thug",Guwop+Home+(feat.+Young+Thug)
"Lil+Durk,+Future",Hated+On+Me
"Juicy+J,+Travi$+Scott",No+English
Belly,Ballerina
