Artist Name,Track Name
Generationals,"When+They+Fight,+They+Fight"
Moon+Taxi,Make+Your+Mind+Up
Kaptan,Everything
of+Montreal,Gronlandic+Edit
Foreign+Air,In+the+Shadows
Two+Door+Cinema+Club,Bad+Decisions
Roosevelt,Fever
The+Little+Ones,Argonauts
Future+Generations,Coast
Dagny,Backbeat
The+Maccabees,Toothpaste+Kisses
CHAPPO,Come+Home
Born+Ruffians,Ocean%27s+Deep
Sleigh+Bells,Rill+Rill
Freedom+Fry,Shaky+Ground
Active+Bird+Community,Pick+Me+Apart
POP+ETC,What+Am+I+Becoming?
Satchmode,State+of+Mind
Basement+Revolver,Johnny
The+Features,This+Disorder
Caveman,On+My+Own
The+Kooks,Naive
Wildcat!+Wildcat!,Straight+to+the+Top
Two+Door+Cinema+Club,Are+We+Ready?+(Wreck)
Tall+Heights,River+Wider
Maggie+Rogers,Alaska
Fickle+Friends,Swim
Zipper+Club,Going+the+Distance
Frankie+&+The+Heartstrings,Hunger
Zeus,Are+You+Gonna+Waste+My+Time?
Declan+McKenna,Brazil
Fruit+Bats,Humbug+Mountain+Song
The+Belle+Game,Wait+Up+For+You
Housse+de+Racket,Roman
Hospitality,Friends+of+Friends
Craft+Spells,After+the+Moment
Lawrence+Arabia,Apple+Pie+Bed
Baio,Sister+Of+Pearl
Future+Generations,You%27ve+Got+Me+Flush
DIIV,Under+the+Sun
Grouplove,Welcome+To+Your+Life
Diskopunk,Fire
Tennis,Origins
WATERS,Up+Up+Up
The+Island+Club,Let+Go
PAPA,Comfort%27s+a+Killer
The+Rebel+Light,Strangers
Colony+House,You+Know+It
Coast+Modern,Guru
Whitney,Golden+Days
Tennis,Ladies+Don%27t+Play+Guitar
Spoon,Inside+Out
Lawrence+Arabia,Another+Century
San+Cisco,Too+Much+Time+Together
Glass+Animals,Life+Itself
Circa+Waves,T-Shirt+Weather
Metronomy,The+Bay
Future+Generations,Stars+(EP+Version)
Lucius,Almost+Makes+Me+Wish+for+Rain
Bombay+Bicycle+Club,Shuffle
Active+Bird+Community,Longport
Born+Ruffians,Foxes+Mate+For+Life
"Ra+Ra+Riot,+Rostam",Water
Sure+Sure,New+Biome
King+Charles,Gamble+for+a+Rose
St.+Lucia,Dancing+On+Glass
Ten+F_,Elodie
The+Shins,Australia
Someone+Still+Loves+You+Boris+Yeltsin,Young+Presidents
Future+Islands,Seasons+(Waiting+On+You)
Cold+War+Kids,Hang+Me+Up+to+Dry
Wilderado,Wheat
Yoke+Lore,Hold+Me+Down
Man+Man,Head+On+[Hold+On+To+Your+Heart]
"RAC,+Speak",One+House
Vampire+Weekend,Oxford+Comma
Surfer+Blood,Floating+Vibes
The+Wild+Wild,When+We+Were+Young
Peter+Bjorn+and+John,What+You+Talking+About?
Little+Green+Cars,The+John+Wayne
Lucius,Turn+It+Around
Bibio,è+tout+ö+l%27heure
Secret+Weapons,Something+New
The+Royal+Concept,D-D-Dance
Mass+Gothic,Every+Night+You%27ve+Got+to+Save+Me
Young+Galaxy,Pretty+Boy
WILD,Vagabond
Day+Wave,Gone
Nico+Yaryan,Just+Tell+Me
Moon+Taxi,Red+Hot+Lights
Handsome+Ghost,Graduate
John+Heart+Jackie,Nevada+City
Alexander,Truth
Broken+Bells,The+High+Road
Ra+Ra+Riot,Absolutely
Kaptan,Jump
Coconut+Records,West+Coast
The+Strumbellas,Spirits
American+Royalty,Matchstick
Mating+Ritual,I+Wear+Glasses
Tigertown,Lonely+Cities
Best+Coast,Feeling+Ok
Portugal.+The+Man,Atomic+Man
The+Rumble+Strips,Girls+And+Boys+In+Love
Glades,Drive
Boho+Dancer,Fictional+Reasons
Wild+Nothing,TV+Queen
"Urban+Cone,+Tove+Lo",Come+Back+To+Me
MUNA,Loudspeaker
Malajube,Montreal+-40c
Cults,Go+Outside
Shugo+Tokumaru,Katachi
HONNE,Gone+Are+The+Days
Sjowgren,Seventeen
The+Wombats,Greek+Tragedy
Erik+Hassle,Smaller
The+Mowgli%27s,I%27m+Good
Vacationer,The+Wild+Life
Kopecky,Talk+To+Me
Pleasure+Beach,Go
Cloud+Control,Dojo+Rising
Cayucas,Cayucos
POWERS,Beat+of+My+Drum
Frankie+Cosmos,Young
Panama+Wedding,Infinite+High
Brandon+Flowers,Still+Want+You
The+Preatures,Is+This+How+You+Feel?
Urban+Cone,Urban+Photograph
Oscar,Daffodil+Days
The+Royal+Concept,Fashion
Opossom,Blue+Meanies
San+Cisco,Awkward+-+EP+Version
POWERS,Legendary
Jack+and+Eliza,Oh+No
Day+Wave,Drag
STRFKR,Rawnald+Gregory+Erickson+the+Second
Bronze+Radio+Return,Light+Me+Up
Morningsiders,Empress
Telekinesis,Sleep+In
Tennis,Needle+and+a+Knife
STRFKR,While+I%27m+Alive
Black+Yaya,Paint+a+Smile+On+Me+-+Radio+Edit
JR+JR,Gone
Summer+Heart,Nothing+Can+Stop+Us+Now
Dresses,Catch
Circa+Waves,Lost+It
Youth+Lagoon,Highway+Patrol+Stun+Gun
Beirut,No+No+No
Dresses,Lonely+One
CRUISR,Throw+Shade
WATERS,What%27s+Real
BRONCHO,Class+Historian
Lord+Huron,Fool+for+Love
Wild+Cub,Thunder+Clatter
Moon+Taxi,All+Day+All+Night
Cayucas,Hella
Anthony+D%27Amato,Was+A+Time
Kishi+Bashi,Bright+Whites
Matt+Costa,Mr.+Pitiful
Only+Real,Yesterdays
Saint+Motel,My+Type
Cayucas,Moony+Eyed+Walrus
Typhoon,Young+Fathers
Frightened+Rabbit,Swim+Until+You+CanÍt+See+Land
Spoon,Rent+I+Pay
Smith+Westerns,Weekend
Peace,Lost+on+Me
BøRNS,Electric+Love
Twerps,Back+to+You
The+Morning+Benders,Excuses
The+Griswolds,Beware+the+Dog
Bombay+Bicycle+Club,Always+Like+This
The+Joy+Formidable,Whirring
"Mystery+Jets,+Laura+Marling",Young+Love+(feat.+Laura+Marling)
Thumpers,Unkinder+(A+Tougher+Love)
"JR+JR,+Dale+Earnhardt+Jr+Jr",Simple+Girl
Bronze+Radio+Return,Further+On
GRMLN,Teenage+Rhythm
Two+Door+Cinema+Club,Something+Good+Can+Work
Like+Swimming,A+Room+of+Her+Own
Colony+House,Silhouettes
Bleachers,Rollercoaster
Ezra+Furman,My+Zero
The+Head+and+the+Heart,Shake
Someone+Still+Loves+You+Boris+Yeltsin,Let%27s+Get+Tired
Bahamas,Stronger+Than+That
Camera+Obscura,The+Sweetest+Thing
Bishop+Allen,Why+I+Had+To+Go
Jagwar+Ma,Man+I+Need
Architecture+In+Helsinki,Frenchy+I%27m+Faking
Hooray+For+Earth,Keys
The+Submarines,"You,+Me+and+the+Bourgeoisie"
Youth+Lagoon,Afternoon
Zuli,Forget+My+Name
Colony+House,Silhouettes
Delta+Spirit,From+Now+On
Various+Artists,Bleachers+-+Feel+Good+Indie+Rock+Intro
Maps+&+Atlases,Artichokes
The+Shins,Caring+Is+Creepy
The+Polyphonic+Spree,You+Don%27t+Know+Me
Klaxons,Golden+Skans
Islands,Wave+Forms
We+Were+Evergreen,Leeway+-+Full+Version
Bishop+Allen,Start+Again
High+Highs,A+Real+Hero
Miniature+Tigers,Swimming+Pool+Blues
Pacific+Air,Float
OH+NO+OH+MY,Walk+In+The+Park
Born+Ruffians,I+Need+A+Life
Here+We+Go+Magic,How+Do+I+Know
Painted+Palms,Spinning+Signs
Friska+Viljor,Until+The+End
PHOX,Slow+Motion
Grouplove,Let+Me+In
The+Zolas,Strange+Girl
Beirut,Santa+Fe
Two+Door+Cinema+Club,Changing+Of+The+Seasons
Active+Bird+Community,Mooncalf
Dirty+Gold,California+Sunrise
Maps+&+Atlases,Fever
Pickwick,Hacienda+Motel
Tokyo+Police+Club,Toy+Guns
Bishop+Allen,Rain
Dinosaur+Feathers,Family+Waves
Radiation+City,Zombies
Architecture+In+Helsinki,Dream+a+Little+Crazy
Generationals,Put+a+Light+On
BEGINNERS,Who+Knows
Dresses,Blew+My+Mind
Youth+Lagoon,Cannons
"1,2,3",Work
Vampire+Weekend,Unbelievers
NewVillager,Rich+Doors
Belle+&+Sebastian,Another+Sunny+Day
Peace,Lovesick
Howler,Back+of+Your+Neck
Jagwar+Ma,Come+Save+Me
Real+Estate,Talking+Backwards
Edward+Sharpe+&+The+Magnetic+Zeros,40+Day+Dream
Gringo+Star,Shadow
Summer+Camp,Two+Chords
Bibio,loversÍ+carvings
Telekinesis,Power+Lines
Portugal.+The+Man,Purple+Yellow+Red+and+Blue
Rah+Rah,Prairie+Girl
Yukon+Blonde,My+Girl
Beat+Connection,Silver+Screen
Javelin,Airfield
Wolf+Gang,Lions+In+Cages
Little+Comets,Dancing+Song
Islands,Hallways
