Artist Name,Track Name
"Bill+Murray,+Kermit+Ruffins",The+Bare+Necessities
"Jason+Weaver,+Rowan+Atkinson,+Laura+Williams","I+Just+Can%27t+Wait+To+Be+King+-+From+The+Lion+King""/Soundtrack+Version"""
Samuel+E.+Wright,"Under+The+Sea+-+From+The+Little+Mermaid""/Soundtrack"""
"Nathan+Lane,+Ernie+Sabella,+Jason+Weaver,+Joseph+Williams","Hakuna+Matata+-+From+The+Lion+King""/Soundtrack"""
Shakira,"Try+Everything+-+From+Zootopia""+Soundtrack"""
"Kristen+Bell,+Agatha+Lee+Monn,+Katie+Lopez",Do+You+Want+to+Build+a+Snowman?
Bruce+Adler,Arabian+Nights
"The+Muppets,+Joanna+Newsom","The+Muppet+Show+Theme+-+From+The+Muppets""/Soundtrack+Version"""
"Angela+Lansbury,+Jerry+Orbach,+Chorus+-+Beauty+And+the+Beast","Be+Our+Guest+-+From+Beauty+and+the+Beast""/Soundtrack"""
Randy+Newman,"You%27ve+Got+A+Friend+In+Me+-+From+Toy+Story""/+Soundtrack"""
"Tegan+and+Sara,+The+Lonely+Island",Everything+Is+AWESOME!!!
We+Love+Disney+Artists,It%27s+A+Small+World
Ariana+Grande,"Zero+To+Hero+-+From+Hercules"""""
Jason+Derulo,"Can+You+Feel+The+Love+Tonight/Nants%27+Ingonyama+-+From+The+Lion+King"""""
Idina+Menzel,"Let+It+Go+-+From+Frozen""/Soundtrack+Version"""
Ne-Yo,"Friend+Like+Me+-+From+Aladdin"""""
Tori+Kelly,"Colors+Of+The+Wind+-+From+Pocahontas"""""
Gwen+Stefani,"Rainbow+Connection+-+From+The+Muppet+Movie"""""
Samuel+E.+Wright,Under+the+Sea+-+Remastered+2014
Brenna+Whitaker,"It%27s+Not+Easy+Being+Green+-+From+The+Muppet+Show"""""
Dwarf+Chorus,Heigh-Ho+-+Soundtrack
"Si+and+Am,+Peggy+Lee",The+Siamese+Cat+Song
Verna+Felton,Bibbidi-Bobbidi-Boo
Cookie+Monster,"""C""+is+for+Cookie"
Kacey+Musgraves,"A+Spoonful+Of+Sugar+-+From+Mary+Poppins"""""
"Kristen+Bell,+Idina+Menzel",For+the+First+Time+in+Forever+(Reprise)
FuLi,My+Own+Way
Samuel+E.+Wright,Kiss+the+Girl
Reading+Rainbow,Reading+Rainbow+Theme+Song
Jodi+Benson,Part+of+Your+World
"Lebo+M.,+Tsidii+Le+Loka,+Faca+Kulu,+The+Lion+King+Ensemble",Circle+Of+Life
"David+Ogden+Stiers,+Mel+Gibson","Mine,+Mine,+Mine"
Bill+Lee,Cruella+De+Vil
"Jim+Carmichael,+Cliff+Edwards,+Hall+Johnson+Choir",When+I+See+An+Elephant+Fly
"Tigger,+Jim+Cummings",The+Wonderful+Thing+About+Tiggers
"Chorus+-+Beauty+And+the+Beast,+Richard+White,+Paige+O%27Hara",Belle
Robin+Williams,Prince+Ali
"Lea+Salonga,+Brad+Kane",A+Whole+New+World
Spongebob+Squarepants,Goofy+Goober+Rock
Disney+Characters,This+Is+Halloween
Danny+Elfman,What%27s+This?
"Danny+Elfman,+Disney+Characters",Jack%27s+Obsession
"Harvey+Fierstein,+James+Hong,+Jerry+Tondo,+Lea+Salonga,+Matthew+Wilder",A+Girl+Worth+Fighting+For+-+Soundtrack
Snow+White,Some+Day+My+Prince+Will+Come
"Ilene+Woods,+Cinderella%27s+Mice+Chorus",A+Dream+Is+A+Wish+Your+Heart+Makes+-+Soundtrack
Disney+Studio+Chorus,Main+Title+(Bella+Notte)/The+Wag+of+a+Dog%27s+Tail+-+Soundtrack
Julie+Andrews,A+Spoonful+Of+Sugar
"Dick+Dyke,+Julie+Andrews,+Karen+Dotrice,+Matthew+Garber","Chim+Chim+Cher-ee+-+From+""Mary+Poppins"""
The+Kids,Sesame+Street+Theme
