Artist Name,Track Name
"Enrique+Iglesias,+Arcangel,+Javada,+Luny+Tunes",DUELE+EL+CORAZON+-+Remix
"Maluma,+Yandel",El+Perdedor+-+The+Remix
J+Balvin,Bobo
"Reik,+Nicky+Jam",Ya+Me+Enteré+-+Urban+Version
"Zion+&+Lennox,+J+Balvin",Otra+Vez+(feat.+J+Balvin)
"Sia,+Nicky+Jam",Cheap+Thrills+Remix
"Nicky+Jam,+Daddy+Yankee",Hasta+el+Amanecer+-+The+Remix
Sebastian+Yatra,Traicionera
"Carlos+Baute,+Alexis+&+Fido",Amor+y+Dolor+(feat.+Alexis+&+Fido)
"Cosculluela,+Daddy+Yankee",A+Donde+Voy+(feat.+Daddy+Yankee)
"IAmChino,+Pitbull,+Yandel,+Chacal","Ay+MI+Dios+(feat.+Pitbull,+Yandel+&+Chacal)"
"Zion+&+Lennox,+Don+Omar",Embriágame+(feat.+Don+Omar)+-+Remix
"J+Balvin,+Daddy+Yankee",Pierde+Los+Modales
"Farruko,+Ky-Mani+Marley",Chillax
Daddy+Yankee,Shaky+Shaky
"Xantos,+Dynell",Bailame+Despacio
De+La+Ghetto,Acércate
"Alexis+&+Fido,+Fonseca,+Kevin+Roldan",Una+en+un+Millón+-+Remix
"Jacob+Forever,+Farruko",Hasta+Que+Se+Seque+el+Malecón+-+Remix
"Jencarlos,+Charly+Black",Pa+Que+Me+Invitan+-+Spanglish+Version
Andy+Rivera,Quédate
"Danny+Romero,+Carlitos+Rossy",La+Oportunidad
"Alx+Veliz,+Don+Omar",Dancing+Kizomba+-+Remix/Spanglish
Justin+Quiles,Egoísta
Yandel,Nunca+Me+Olvides
"Ken-Y,+Nicky+Jam,+Zion,+Arcangel",Como+Lo+Hacia+Yo+(Official+Remix)
"Chino+&+Nacho,+Daddy+Yankee",Andas+En+Mi+Cabeza
"Mark+B.,+Gabriel",Playa+y+Arena
"Alkilados,+Zion+&+Lennox",La+Bicicleta+-+Remix
Becky+G,Sola
"CNCO,+Wisin",Tan+Fácil+-+Urban+Remix
Jory+Boy,Detras+De+Ti
Maluma,Borro+Cassette
Gente+De+Zona,Algo+Contigo
"Xriz,+Buxxi",Mi+corazón+(feat.+Buxxi)
"Fuego,+Arcangel",Mambo+Para+Bailar+(feat.+Arcangel)
"Ozuna,+Daddy+Yankee",No+Quiere+Enamorarse+(Remix)+[feat.+Daddy+Yankee]
Karol+G,Casi+Nada
"Play-N-Skillz,+Daddy+Yankee",Not+a+Crime+-+No+Es+Ilegal
"Reykon,+Zion+&+Lennox",El+Error+(feat.+Zion+&+Lennox)+-+Remix
Justin+Quiles,Si+Ella+Quisiera
"Luny+Tunes,+Daddy+Yankee,+Wisin,+Don+Omar,+Yandel",Mayor+Que+Yo+3
"Tito+El+Bambino""""",Shalala
"Yandel,+Nicky+Jam",No+Sales+de+Mi+Mente
Farruko,Obsesionado
Daddy+Yankee,Vaivén
"Cosculluela,+Nicky+Jam",Te+Busco
J+Balvin,Ginza
Nicky+Jam,Si+Tú+No+Estás
