Artist Name,Track Name
Metallica,The+Four+Horsemen+(Remastered)
Iron+Maiden,Hallowed+Be+Thy+Name+-+1998+Remastered+Version
Black+Sabbath,N.I.B.
Megadeth,Symphony+Of+Destruction+-+2004+Digital+Remaster
Scorpions,Rock+You+Like+A+Hurricane
Judas+Priest,Electric+Eye
Mot_rhead,Ace+of+Spades
Van+Halen,Hot+For+Teacher
Iron+Maiden,Run+to+the+Hills+-+1998+Remastered+Version
Slayer,Black+Magic
Ozzy+Osbourne,Bark+at+the+Moon
Tygers+Of+Pan+Tang,Love+Potion+No.9
Metallica,Fade+To+Black
Led+Zeppelin,Whole+Lotta+Love
Judas+Priest,The+Ripper
Whitesnake,Still+Of+The+Night+-+2007+Remastered+Version
Diamond+Head,Am+I+Evil
Black+Sabbath,Symptom+of+the+Universe
Quartz,Stand+Up+And+Fight
Saxon,Princess+of+the+Night
Iron+Maiden,Afraid+To+Shoot+Strangers+-+1998+Remastered+Version
Savatage,Edge+of+Thorns
Judas+Priest,Turbo+Lover
Michael+Schenker+Group,Armed+And+Ready
King+Diamond,Abigail+(Reissue)
Black+Sabbath,Heaven+And+Hell+-+2007+Remastered+Version
Judas+Priest,You%27ve+Got+Another+Thing+Comin%27
Demon,Night+of+the+Demon
LOUDNESS,Crazy+Night
Metallica,Master+Of+Puppets
Megadeth,Hangar+18+-+2004+Digital+Remaster
Iron+Maiden,Where+Eagles+Dare+-+1998+Remastered+Version
W.A.S.P.,Wild+Child
Black+Sabbath,Iron+Man
Dio,We+Rock
Metallica,Battery
Dokken,Breaking+The+Chains
Nazareth,Hair+Of+The+Dog
Black+Sabbath,War+Pigs
Megadeth,Holy+Wars...The+Punishment+Due+-+2004+Digital+Remaster
Iron+Maiden,Fear+Of+The+Dark+-+1998+Remastered+Version
Metallica,Welcome+Home+(Sanitarium)
Quiet+Riot,Metal+Health+(Bang+Your+Head)
UFO,Doctor+Doctor
Warrant,Cherry+Pie
Krokus,Screaming+in+the+Night
Metallica,The+Thing+That+Should+Not+Be
Warlock,All+We+Are
Armored+Saint,Can+U+Deliver
Mot_rhead,Killed+By+Death
