Artist Name,Track Name
"The+Chainsmokers,+Halsey",Closer
"Major+Lazer,+Justin+Bieber,+Mø",Cold+Water
Shawn+Mendes,Treat+You+Better
"Charlie+Puth,+Selena+Gomez",We+Don%27t+Talk+Anymore+(feat.+Selena+Gomez)
"Drake,+Rihanna",Too+Good
Ariana+Grande,Into+You
"DJ+Snake,+Justin+Bieber",Let+Me+Love+You
Joel+Adams,Please+Don%27t+Go
"The+Chainsmokers,+Daya",Don%27t+Let+Me+Down
"Coldplay,+Seeb",Hymn+For+The+Weekend+-+Seeb+Remix
"Drake,+Wiz+Kid,+Kyla",One+Dance
"Calvin+Harris,+Rihanna",This+Is+What+You+Came+For
Twenty+One+Pilots,Heathens
"Hailee+Steinfeld,+Grey,+Zedd",Starving
Selena+Gomez,Kill+Em+With+Kindness
"FRENSHIP,+Emily+Warren",Capsize
Twenty+One+Pilots,Ride
"Fifth+Harmony,+Fetty+Wap",All+In+My+Head+(Flex)
Sia,Cheap+Thrills
Tove+Lo,Cool+Girl
Adele,Send+My+Love+(To+Your+New+Lover)
"Cheat+Codes,+Dante+Klein",Let+Me+Hold+You+(Turn+Me+On)
"Mike+Perry,+Shy+Martin",The+Ocean
"Flume,+Tove+Lo",Say+It+(feat.+Tove+Lo)
"gnash,+Olivia+O%27Brien","i+hate+u,+i+love+u+(feat.+olivia+o%27brien)"
"Jonas+Blue,+JP+Cooper",Perfect+Strangers
Demi+Lovato,Body+Say
"Marc+E.+Bassy,+G-Eazy",You+&+Me
Mø,Final+Song
Kiiara,Gold
Anne-Marie,Alarm
OneRepublic,Wherever+I+Go
Astrid+S,Hurts+So+Good
DNCE,Toothbrush
Alessia+Cara,Scars+To+Your+Beautiful
Rihanna,Needed+Me
Kent+Jones,Don%27t+Mind
Timeflies,Once+In+A+While
"Flume,+Kai",Never+Be+Like+You+(feat.+Kai)
"Fifth+Harmony,+Ty+Dolla+$ign",Work+from+Home
"Martin+Garrix,+Bebe+Rexha",In+The+Name+Of+Love
"David+Guetta,+Zara+Larsson",This+One%27s+For+You+(feat.+Zara+Larsson)+-+Official+Song+UEFA+EURO+2016
"Kungs,+Cookin%27+On+3+Burners",This+Girl+(Kungs+Vs.+Cookin%27+On+3+Burners)
Daya,"Sit+Still,+Look+Pretty"
"Britney+Spears,+G-Eazy",Make+Me...+(feat.+G-Eazy)
Tory+Lanez,LUV
Zara+Larsson,Lush+Life
Justin+Timberlake,"Can%27t+Stop+The+Feeling!+(Original+Song+From+Dreamworks+Animation%27s+""Trolls"")"
Galantis,No+Money
Lukas+Graham,Mama+Said
