Artist Name,Track Name
Joseph,White+Flag
"Little+May,+Sonny+Alven",Boardwalks+-+Sonny+Alven+Remix
Maggie+Rogers,Alaska
Half+Moon+Run,Call+Me+In+The+Afternoon
B¯RNS,Electric+Love
Castro,Diamond+Dreams
Of+Monsters+and+Men,Little+Talks
Frances+Cone,Arizona
WILD,Vagabond
The+Head+and+the+Heart,Shake
The+Brevet,Moving+Mountains
Vance+Joy,Mess+Is+Mine
Of+Monsters+and+Men,Mountain+Sound
Stu+Larsen,Thirteen+Sad+Farewells
Wildwood+Kin,Warrior+Daughter
Boy+&+Bear,Southern+Sun
Mumford+&+Sons,Little+Lion+Man
Gardiner+Sisters,Home/Dirty+Paws
First+Aid+Kit,My+Silver+Lining
MisterWives,Riptide
Sylvan+Esso,Coffee
Family+and+Friends,Amadeus
Jerry+Williams,Mother
Sara+Hartman,Monster+Lead+Me+Home
BANNERS,Start+A+Riot
The+Lumineers,Flowers+in+Your+Hair
Zayde+W¿lf,Live+Life
Gavin+James,Nervous+-+The+Ooh+Song/Mark+McCabe+Remix
Ray+LaMontagne,You+Are+the+Best+Thing
Little+Green+Cars,My+Love+Took+Me+Down+To+The+River+To+Silence+Me
Joseph,Wind
"The+Jepettos,+New+Portals",Stereo
Echosmith,Bright
NEEDTOBREATHE,HAPPINESS+-+Acoustic
"Passenger,+Boy+&+Bear",Shape+of+Love+(feat.+Boy+&+Bear)
Fleet+Foxes,Mykonos
Ben+Howard,The+Wolves
Hozier,Someone+New
The+Head+and+the+Heart,Lost+in+My+Mind
Jared+&+The+Mill,Breathe+Me+In
Mumford+&+Sons,I+Will+Wait
Trampled+By+Turtles,Wait+So+Long
Of+Monsters+and+Men,Dirty+Paws
First+Aid+Kit,Wolf
Hozier,Take+Me+to+Church
Vance+Joy,Fire+and+the+Flood
Andrew+Simple,Wild+++Free
Little+Green+Cars,The+John+Wayne
Joseph,Cloudline
First+Aid+Kit,Emmylou
George+Ezra,Budapest
Westward+the+Tide,This+Heart+I+Know
Mumford+&+Sons,The+Cave
Ben+Howard,Old+Pine
Little+Chief,Mountain+Song
The+Civil+Wars,Barton+Hollow
The+Head+and+the+Heart,Down+in+the+Valley
Cereus+Bright,Stella
The+National+Parks,As+We+Ran
Edward+Sharpe+&+The+Magnetic+Zeros,Home
Gabe+Dixon,Crave
The+Lumineers,Ho+Hey
James+Bay,Let+It+Go
Twin+Forks,Back+To+You
Alfred+Hall,The+King+of+Cape
