Artist Name,Track Name
The+Clash,London+Calling+-+Remastered
Ramones,Blitzkrieg+Bop+-+Remastered+Version
Green+Day,Basket+Case
The+Offspring,The+Kids+Aren%27t+Alright
blink-182,All+The+Small+Things
Sex+Pistols,Anarchy+In+The+U.K.
Goldfinger,Superman
Social+Distortion,Story+of+My+Life
NOFX,Linoleum
Bad+Religion,21st+Century+[Digital+Boy]
Dropkick+Murphys,The+State+Of+Massachusetts
Against+Me!,Thrash+Unreal
Elvis+Costello+&+The+Attractions,"Radio,+Radio"
Iggy+Pop,The+Passenger
Millencolin,No+Cigar
MC5,Kick+Out+The+Jams+(Original+Uncensored+Version)
Dead+Kennedys,Holiday+in+Cambodia
Sum+41,Fat+Lip
Rise+Against,Savior
AFI,Miss+Murder
The+Runaways,Cherry+Bomb
Rancid,Time+Bomb
Misfits,Last+Caress
Minor+Threat,Straight+Edge
NOFX,Bob
Pennywise,Fuck+Authority
The+Gaslight+Anthem,American+Slang
Black+Flag,TV+Party
Refused,New+Noise
Pulley,Hooray+For+Me
Adolescents,Amoeba
The+Stooges,Search+and+Destroy
Descendents,Hope
Hot+Water+Music,Trusty+Chords
Strung+Out,Analog
Yellowcard,Ocean+Avenue
MxPx,Responsibility
Operation+Ivy,Sound+System
Propagandhi,Anti-Manifesto
The+Menzingers,I+Don%27t+Wanna+Be+An+Asshole+Anymore
Minutemen,Corona
The+Offspring,"You%27re+Gonna+Go+Far,+Kid"
Fugazi,Waiting+Room
Bad+Brains,Banned+In+D.C.
The+Bouncing+Souls,Gone
Bowling+For+Soup,1985
The+Ataris,The+Boys+of+Summer
The+Stooges,I+Wanna+Be+Your+Dog
The+Distillers,City+Of+Angels
The+Mighty+Mighty+Bosstones,The+Impression+That+I+Get
Dead+Boys,Sonic+Reducer
Ramones,I+Wanna+Be+Sedated
The+Jam,In+The+City
Billy+Talent,Try+Honesty
The+Replacements,Bastards+Of+Young+(Remastered+Album+Version)
Anti-Flag,This+Is+the+End+(For+You+My+Friend)
Raised+Fist,Friends+&+Traitors
Buzzcocks,Ever+Fallen+in+Love+(With+Someone+You+Shouldn%27t%27ve?)+-+1996+Remastered+Version
X-Ray+Spex,Oh+Bondage+Up+Yours!
Rise+Against,Prayer+Of+The+Refugee
New+York+Dolls,Personality+Crisis
Bikini+Kill,Rebel+Girl
Bad+Religion,American+Jesus
HŸsker+DŸ,Don%27t+Want+To+Know+If+You+Are+Lonely
Against+Me!,I+Was+a+Teenage+Anarchist
The+Damned,New+Rose
All,World%27s+On+Heroin
Green+Day,Longview
NOFX,Don%27t+Call+Me+White
Ramones,Rock+%27N%27+Roll+High+School+-+Remastered
Agnostic+Front,Gotta+Go
New+Found+Glory,My+Friends+Over+You
Green+Day,American+Idiot
Black+Flag,Rise+Above
Motion+City+Soundtrack,Everything+Is+Alright
Suicidal+Tendencies,Institutionalized
Guttermouth,Can+I+Borrow+Some+Ambition?
L7,Pretend+We%27re+Dead
Matchbook+Romance,Monsters
The+Bronx,Knifeman
The+Muffs,Kids+in+America
No+Use+For+A+Name,Dumb+Reminders
Off+With+Their+Heads,Nightlife
Patti+Smith,Because+the+Night+-+Remastered
Saves+The+Day,Shoulder+to+the+Wheel
Screeching+Weasel,Cool+Kids
Sex+Pistols,God+Save+The+Queen
blink-182,Dammit
The+Offspring,Self+Esteem
The+Clash,Should+I+Stay+or+Should+I+Go+-+Remastered
X,Los+Angeles
Social+Distortion,I+Was+Wrong
Rancid,Ruby+Soho
Stiff+Little+Fingers,Alternative+Ulster
The+Suicide+Machines,New+Girl
Sex+Pistols,Pretty+Vacant
Ten+Foot+Pole,A.D.D.
Alkaline+Trio,Mercy+Me
Teenage+Bottlerocket,Skate+Or+Die
