Artist Name,Track Name
Tory+Lanez,LUV
Rihanna,Needed+Me
Jeremih,oui
"Drake,+Wiz+Kid,+Kyla",One+Dance
Tinashe,Ride+Of+Your+Life
"PARTYNEXTDOOR,+Drake",Come+and+See+Me+(feat.+Drake)
Bryson+Tiller,Exchange
Alicia+Keys,In+Common
"DJ+Drama,+Chris+Brown,+Skeme,+Lyquin","Wishing+(feat.+Chris+Brown,+Skeme+&+Lyquin)"
Ro+James,Already+Knew+That
Guordan+Banks,Keep+You+in+Mind
Fantasia,Sleeping+With+The+One+I+Love
BJ+The+Chicago+Kid,Turnin%27+Me+Up
Erykah+Badu,Phone+Down
"Kendra+Foster,+Kelvin+Wooten",Promise+to+Stay+Here
R.LUM.R,Frustrated
"Mac+Miller,+Anderson+Paak",Dang!+(feat.+Anderson+.Paak)
"Drake,+Rihanna",Too+Good
Aaron+Camper,Hypnotizing
"Phonte,+Eric+Roberson",It%27s+So+Easy
Khalid,Location
Jill+Scott,Can%27t+Wait
"Yuna,+Usher",Crush
Rihanna,Sex+With+Me
"Eric+Bellinger,+2+Chainz,+Fetty+Wap",Valet+(feat.+Fetty+Wap+and+2+Chainz)
Lloyd,Tru
Fantasia,When+I+Met+You
The+Weeknd,Acquainted
"Jeremih,+Ty+Dolla+$ign",Impatient
Gallant,Talking+to+Myself
"Chrisette+Michele,+Rick+Ross",Equal
Maxwell,1990x
"Chris+Brown,+Usher,+ZAYN",Back+To+Sleep+REMIX
Bryson+Tiller,Don%27t
TWENTY88,London+Bridge
Corinne+Bailey+Rae,Green+Aphrodisiac
Maxwell,Lake+By+the+Ocean
"Mali+Music,+Jhene+Aiko",Contradiction
Ro+James,Burn+Slow
"Rihanna,+Drake",Work
"Trevor+Jackson,+Iamsu!",Rock+Wit+Me+(feat.+IAMSU!)
dvsn,Too+Deep
"Tank,+Siya,+Chris+Brown,+Sage+The+Gemini","#BDAY+(feat.+Chris+Brown,+Siya+and+Sage+The+Gemini)"
"Tweet,+Missy+Elliott",Somebody+Else+Will+(feat.+Missy+Elliott)
K.+Michelle,Ain%27t+You
"Tank,+Wale",You+Don%27t+Know+(feat.+Wale)
Anthony+Hamilton,Amen
Musiq+Soulchild,I+Do
"Anderson+Paak,+The+Game,+Sonyae+Elise",Room+In+Here
dvsn,Hallucinations
