Artist Name,Track Name
Green+Day,Bang+Bang
Lewis+Del+Mar,Painting+(Masterpiece)
Red+Hot+Chili+Peppers,Dark+Necessities
Radiohead,Burn+the+Witch
blink-182,Bored+To+Death
Twenty+One+Pilots,Heathens
Nothing+but+Thieves,Wake+Up+Call
Thrice,Black+Honey
Foals,What+Went+Down
Biffy+Clyro,Howl
Billy+Talent,Afraid+of+Heights
Grouplove,Welcome+To+Your+Life
Glass+Animals,Life+Itself
Kaleo,Way+Down+We+Go
The+Struts,Put+Your+Money+On+Me
Prophets+Of+Rage,Prophets+Of+Rage
Disturbed,Open+Your+Eyes
Volbeat,The+Devil%27s+Bleeding+Crown
Bring+Me+The+Horizon,Avalanche
Shinedown,Asking+For+It
The+Pretty+Reckless,Take+Me+Down
Skillet,Feel+Invincible
Pop+Evil,Take+It+All
A+Day+To+Remember,Paranoia
Moose+Blood,Knuckles
The+Wombats,Be+Your+Shadow
Sum+41,Fake+My+Own+Death
Young+the+Giant,Something+To+Believe+In
Fitz+and+The+Tantrums,HandClap
Miike+Snow,My+Trigger
Pierce+The+Veil,Circles
Phantogram,You+Don’t+Get+Me+High+Anymore
Beck,Wow
Barns+Courtney,Fire
The+Strokes,OBLIVIUS
The+Shelters,Rebel+Heart
The+1975,Somebody+Else
Goodbye+June,Oh+No
Twenty+One+Pilots,Ride
"Royal+Blood,+Vinyl+on+HBO",Where+Are+You+Now?
Cage+The+Elephant,Trouble
Moon+Taxi,Red+Hot+Lights
Pvris,You+and+I
AWOLNATION,Woman+Woman
Bring+Me+The+Horizon,Follow+You
BANNERS,Start+A+Riot
Finish+Ticket,Color
Atlas+Genius,Stockholm
Tame+Impala,The+Less+I+Know+The+Better
Panic!+At+The+Disco,Don%27t+Threaten+Me+With+A+Good+Time
