Artist Name,Track Name
Led+Zeppelin,Ramble+On
Pink+Floyd,Money+-+2011+Remastered+Version
Eagles,Life+In+The+Fast+Lane
David+Bowie,Rebel+Rebel+-+1999+Remastered+Version
Motšrhead,Ace+Of+Spades
Hawkwind,Silver+Machine+-+Original+Single+Version;Live+At+The+Roundhouse+London;+1996+Remastered+Version
AC/DC,Back+In+Black
Boston,More+Than+a+Feeling
The+Kinks,All+Day+and+All+of+the+Night
The+Rolling+Stones,Beast+Of+Burden+-+Remastered
The+Clash,Should+I+Stay+or+Should+I+Go+-+Remastered
Black+Sabbath,Iron+Man
The+Who,Won%27t+Get+Fooled+Again+-+Original+Album+Version
Black+Sabbath,Paranoid
Dire+Straits,Sultans+Of+Swing
The+Allman+Brothers+Band,Ramblin%27+Man
ZZ+Top,Sharp+Dressed+Man+-+2008+Remastered+Version
The+Who,Who+Are+You
Heart,Barracuda
Boston,Peace+of+Mind
The+Hollies,Long+Cool+Woman+(In+A+Black+Dress)+-+1999+Remastered+Version
The+Marshall+Tucker+Band,Can%27t+You+See
Queen,We+Will+Rock+You+-+Remastered+2011
The+Rolling+Stones,(I+Can%27t+Get+No)+Satisfaction+-+Mono+Version+/+Remastered+2002
Aerosmith,Sweet+Emotion
The+Animals,House+Of+The+Rising+Sun
Jimi+Hendrix,Hey+Joe
The+Doobie+Brothers,China+Grove
Buffalo+Springfield,For+What+It%27s+Worth
Guns+N%27+Roses,Sweet+Child+O%27+Mine
Van+Halen,Runnin%27+With+The+Devil
Ted+Nugent,Stranglehold
Rush,Tom+Sawyer
Jimi+Hendrix,All+Along+the+Watchtower
Led+Zeppelin,Good+Times+Bad+Times
The+Who,My+Generation
The+Rolling+Stones,Brown+Sugar+-+Remastered
Cream,White+Room
The+Yardbirds,Heart+Full+of+Soul
The+Who,Pinball+Wizard
Creedence+Clearwater+Revival,Down+On+The+Corner
Van+Morrison,Brown+Eyed+Girl
Kansas,Dust+in+the+Wind
The+Rolling+Stones,Honky+Tonk+Women
Fleetwood+Mac,Go+Your+Own+Way
The+Kinks,You+Really+Got+Me
Golden+Earring,Radar+Love
The+Doobie+Brothers,Black+Water+(45+Version)
The+Doors,Love+Her+Madly
Lynyrd+Skynyrd,Gimme+Three+Steps
Boston,Foreplay+/+Long+Time
Fleetwood+Mac,The+Chain
Bad+Company,Bad+Company+(Remastered+Album+Version)
Creedence+Clearwater+Revival,Fortunate+Son
The+Guess+Who,American+Woman+-+Remastered
Free,All+Right+Now
Joe+Walsh,Rocky+Mountain+Way
Kansas,Carry+on+Wayward+Son
Heart,Crazy+On+You
Joe+Walsh,Life%27s+Been+Good
Queen,Another+One+Bites+The+Dust
Blue+…yster+Cult,(Don%27t+Fear)+The+Reaper
Steve+Miller+Band,The+Joker
ZZ+Top,La+Grange+-+2005+Remastered+Version
Aerosmith,Walk+This+Way
The+Kinks,Strangers
The+Moody+Blues,Nights+In+White+Satin+-+Single+Version
Bob+Dylan,Knockin%27+On+Heaven%27s+Door+-+Remastered
Cream,Sunshine+Of+Your+Love
Guns+N%27+Roses,Welcome+To+The+Jungle
"Big+Brother+&+The+Holding+Company,+Janis+Joplin",Piece+of+My+Heart
Creedence+Clearwater+Revival,Have+You+Ever+Seen+The+Rain?
Steppenwolf,Born+To+Be+Wild
Eric+Clapton,Cocaine
The+Who,Behind+Blue+Eyes+-+Original+Album+Version
The+Doors,Break+On+Through+(To+The+Other+Side)
Steppenwolf,Magic+Carpet+Ride
The+Who,Baba+O%27Riley+-+Original+Album+Version
Derek+&+The+Dominos,Layla+-+40th+Anniversary+Version+/+2010+Remastered
Journey,Don%27t+Stop+Believin%27
The+Allman+Brothers+Band,Midnight+Rider
Queen,Bohemian+Rhapsody+-+Remastered+2011
Guns+N%27+Roses,Paradise+City
The+Rolling+Stones,Paint+It+Black
Lynyrd+Skynyrd,Simple+Man
"Crosby,+Stills+&+Nash",Suite:+Judy+Blue+Eyes+-+Remastered
The+Rolling+Stones,Gimme+Shelter
Aerosmith,Toys+In+The+Attic
Lynyrd+Skynyrd,Free+Bird
Lynyrd+Skynyrd,Sweet+Home+Alabama
Creedence+Clearwater+Revival,Bad+Moon+Rising
Aerosmith,Dream+On
Def+Leppard,Pour+Some+Sugar+On+Me+(2012)
Jimi+Hendrix,Purple+Haze
Bruce+Springsteen,Born+to+Run
Eric+Clapton,Let+It+Rain
Mountain,Mississippi+Queen
Lou+Reed,Walk+on+the+Wild+Side
Don+McLean,American+Pie
The+Doobie+Brothers,Listen+To+The+Music
