Artist Name,Track Name
Angus+&+Julia+Stone,Stay+With+Me+-+Live+From+Spotify+Berlin
Astrid+S,Paper+Thin+-+Live+From+Studio
Tom+Odell,Magnetised+-+Acoustic
"Langhorne+Slim,+Jill+Andrews",Sea+Of+Love
James+Vincent+McMorrow,"Wicked+Game+-+Recorded+Live+at+St+Canice+Cathedral,+Kilkenny"
Ryan+Adams,Amy
Charlene+Soraia,Wherever+You+Will+Go
Ed+Sheeran,Photograph
Jaclyn+Davies,Stitches
Maroon+5,She+Will+Be+Loved+-+Acoustic
Passenger,Let+Her+Go+-+Live+At+Spotify+Amsterdam
Haley+Reinhart,Can%27t+Help+Falling+in+Love
Adele,Someone+Like+You
"Robin+Schulz,+J.U.D.G.E.",Show+Me+Love+-+Acoustic+Version
The+Civil+Wars,Poison+&+Wine
One+Direction,Night+Changes+-+Live+Acoustic+Session
Megan+Davies,"See+You+Again,+Love+Me+Like+You+Do,+Sugar+(Acoustic+Mashup)"
Scott+Helman,Machine
"Jillian+Edwards,+Zach+Berkman",You%27re+a+Part+of+Me
Zedd,Find+You+-+Acoustic+-+Live+In+Los+Angeles
Katy+Perry,The+One+That+Got+Away+-+Acoustic
The+Fray,Over+My+Head+(Cable+Car)+-+Acoustic+[Live]
Birdy,Tee+Shirt
Ed+Sheeran,Thinking+Out+Loud
"Kina+Grannis,+Gardiner+Sisters",I+Was+Made+For+Loving+You+/+Please+Don%27t+Say+You+Love+Me
Holley+Maher,I+Do
Hearts+&+Colors,Lego+House
Daniela+Andrade,Crazy+in+Love
Vance+Joy,Georgia
The+Strumbellas,I+Still+Make+Her+Cry
Bruno+Mars,Grenade+-+Acoustic
John+Mayer,XO
"Nashville+Cast,+Hayden+Panettiere",Hypnotizing+-+Acoustic+Version
Ira+Wolf,One+More+Chance
Monica+Heldal,Follow+You+Anywhere
The+National+Parks,Wind+&+Anchor
Mumford+&+Sons,Awake+My+Soul
Isobel+Anderson,Waiting+For+You
The+Lumineers,Ophelia
American+Young,Point+Of+View
Ed+Sheeran,Give+Me+Love
Jack+Johnson,Banana+Pancakes
Rayland+Baxter,Olivia
Bear%27s+Den,Sophie
Ben+Howard,Only+Love
Damien+Rice,Lonelily
Bahamas,Whole+Wide+World
Lily+&+Madeleine,Come+to+Me
The+Accidentals,Us
Roo+Panes,Land+of+the+Living
Ani+Difranco,Both+Hands
Dotan,Hungry
"Tanner+Townsend,+Gardiner+Sisters",Let+It+Go
Isbells,Reunite
Doug+Burr,Do+You+Hear+Wedding+Bells+(Low+Down+Version)
Julia+Stone,This+Love
The+Civil+Wars,From+This+Valley+-+Acoustic
"Corey+Gray,+Ali+Brustofski",Maps+(Acoustic)+[feat.+Ali+Brustofski]
Megan+Davies,White+Walls/Can%27t+Hold+Us/Same+Love/Thrift+Shop+(Acoustic+Mashup)+Feat.+Jaclyn+Davies
Benjamin+Francis+Leftwich,Shine
MAGIC!,Rude+(Acoustic)
Katja+Petri,Headlights+(Acoustic+Version)
The+Tallest+Man+On+Earth,Love+Is+All
"Delta+Rae,+Lindsey+Buckingham",If+I+Loved+You+(feat.+Lindsey+Buckingham)
One+Direction,Steal+My+Girl+-+Acoustic+Version
Emeli+Sandé,Next+to+Me+-+Live+from+Spotify+NYC
Kodaline,Love+Like+This+-+Acoustic
City+and+Colour,The+Girl
The+Civil+Wars,The+One+That+Got+Away+-+Acoustic
Damien+Rice,The+Blower%27s+Daughter
Sufjan+Stevens,To+Be+Alone+With+You
Amy+Winehouse,Best+Friend+-+Acoustic
Jason+Chen,Mirrors+-+Acoustic
