Artist Name,Track Name
Etta+James,Something%27s+Got+A+Hold+On+Me+-+Single+Version
Stevie+Wonder,"Signed,+Sealed,+Delivered+(I%27m+Yours)"
Bobby+Day,Rockin%27+Robin
The+Staple+Singers,I%27ll+Take+You+There+-+Single+Version
Bill+Withers,Lovely+Day
Four+Tops,"I+Can%27t+Help+Myself+(Sugar+Pie,+Honey+Bunch)"
Aretha+Franklin,Think
Natalie+Cole,This+Will+Be+(An+Everlasting+Love)+-+2003+Digital+Remaster
"Marvin+Gaye,+Tammi+Terrell",Ain%27t+No+Mountain+High+Enough+-+Stereo+Version
Otis+Redding,Stand+By+Me
Stevie+Wonder,Uptight+(Everything%27s+Alright)
Sly+&+The+Family+Stone,Everyday+People
Fontella+Bass,Rescue+Me
Sam+&+Dave,"Hold+On,+I%27m+Comin%27"
Jackie+Wilson,(Your+Love+Keeps+Lifting+Me)+Higher+&+Higher
Aretha+Franklin,Respect+-+Remastered
The+Temptations,"My+Girl+-+16+Big+Hits""+Stereo+Version"""
The+Supremes,You+Can%27t+Hurry+Love
Johnny+Nash,I+Can+See+Clearly+Now+-+Edit
Sam+Cooke,(What+A)+Wonderful+World
The+Jackson+5,I+Want+You+Back
Stevie+Wonder,Sir+Duke
Sam+Cooke,Bring+It+On+Home+to+Me
The+Shirelles,Mama+Said
The+Chiffons,One+Fine+Day
Al+Green,Let%27s+Stay+Together
Stevie+Wonder,Superstition
Penny+&+The+Quarters,You+And+Me
Four+Tops,Baby+I+Need+Your+Loving
Dusty+Springfield,Son+Of+A+Preacher+Man
The+Marvelettes,Playboy
"Diplomats+of+Solid+Sound,+The+Diplomettes",Soul+Connection
Ray+Charles,I%27ve+Got+A+Woman
The+Crystals,Then+He+Kissed+Me
Hot+Chocolate,You+Sexy+Thing
Stevie+Wonder,For+Once+In+My+Life
The+Contours,Do+You+Love+Me
Otis+Redding,My+Girl+-+Remastered+Mono
Sam+&+Dave,Soul+Man
The+Marvelettes,Please+Mr.+Postman
Jr.+Walker+&+The+All+Stars,How+Sweet+It+Is+(To+Be+Loved+By+You)
Mary+Wells,You+Beat+Me+To+The+Punch
The+Temptations,Get+Ready
James+Brown,Get+Up+Offa+That+Thing
Smokey+Robinson+&+The+Miracles,I+Second+That+Emotion
The+Isley+Brothers,This+Old+Heart+Of+Mine+(Is+Weak+For+You)+-+Single+Version+(Mono)
The+Drifters,Under+The+Boardwalk
The+Velvelettes,Needle+In+A+Haystack
Leon+Bridges,Smooth+Sailin%27
The+Jackson+5,ABC
Marvin+Gaye,Got+To+Give+It+Up+(Part+1)
The+Supremes,Come+See+About+Me
The+O%27Jays,Love+Train
Aretha+Franklin,Son+Of+A+Preacher+Man
Ray+Charles,Hallelujah+I+Love+Her+So
Little+Richard,Tutti+Frutti
Mary+Wells,My+Guy
James+Brown,Papa%27s+Got+A+Brand+New+Bag
Four+Tops,"Reach+Out,+I%27ll+Be+There"
Funkadelic,Can+You+Get+To+That
Marlena+Shaw,California+Soul
The+Five+Stairsteps,O-o-h+Child+-+Remastered
The+Isley+Brothers,"Shout,+Pts.+1+&+2"
Eddie+Floyd,Knock+On+Wood
Martha+Reeves+&+The+Vandellas,Heatwave
Jr.+Walker+&+The+All+Stars,Shotgun
The+Supremes,Baby+Love
Chuck+Berry,No+Particular+Place+To+Go+-+Single+Version
Edwin+Starr,War+-+Single+Version
The+Meters,Cissy+Strut
Wilson+Pickett,Land+Of+1000+Dances
Sly+&+The+Family+Stone,Dance+to+the+Music
The+Isley+Brothers,Twist+And+Shout
The+Supremes,Stop!+In+The+Name+Of+Love
The+Ronettes,Be+My+Baby
Clarence+Carter,Snatching+It+Back
Bettye+Swann,Make+Me+Yours
The+Foundations,Build+Me+up+Buttercup+(Re-Recorded)
Arthur+Conley,Sweet+Soul+Music
Martha+Reeves+&+The+Vandellas,Dancing+In+The+Street
James+Brown,I+Got+You+(I+Feel+Good)
The+Isley+Brothers,It%27s+Your+Thing
Major+Lance,"Um,+Um,+Um,+Um,+Um,+Um"
Fats+Domino,Ain%27t+That+A+Shame?+-+2002+Digital+Remaster
Don+Covay,"Mercy,+Mercy"
Betty+Bibbs,Enough+For+Everybody
The+Jackson+5,Who%27s+Lovin%27+You
Sam+Cooke,Chain+Gang
Four+Mints,Keep+On+Loving+You
Percy+Sledge,You+Really+Got+A+Hold+On+Me
Commodores,Easy
Etta+James,I+Just+Want+To+Make+Love+To+You
Rex+Williams,You+Are+My+Heart
Sharon+Jones+&+The+Dap-Kings,I+Just+Dropped+In+To+See+What+Condition+My+Condition+Is+In
Frank+Wilson,Do+I+Love+You+(Indeed+I+Do)
The+Temptations,The+Way+You+Do+The+Things+You+Do
Otis+Redding,Shake+-+Remastered+Stereo
Patty+&+The+Emblems,"Mixed-Up,+Shook-Up+Girl"
James+Brown,The+Boss
The+Spinners,The+Rubberband+Man
