Artist Name,Track Name
Lukas+Graham,7+Years
Adele,Hello
Joel+Adams,Please+Don%27t+Go
"Mark+Ronson,+Bruno+Mars",Uptown+Funk
"Jessie+J,+Ariana+Grande,+Nicki+Minaj",Bang+Bang
"Rihanna,+Drake",Work
Little+Mix,Black+Magic
Justin+Timberlake,"Can%27t+Stop+the+Feeling!+(Original+Song+from+DreamWorks+Animation%27s+""TROLLS"")"
"Major+Lazer,+MØ,+DJ+Snake",Lean+On+(feat.+MØ+&+DJ+Snake)
Maroon+5,Sugar
Incubus,Drive
U2,Beautiful+Day
Hailee+Steinfeld,Love+Myself
"Jonas+Blue,+Dakota",Fast+Car+-+Radio+Edit
Justin+Bieber,Love+Yourself
Rachel+Platten,Fight+Song
"Fifth+Harmony,+Ty+Dolla+$ign",Work+from+Home
Elle+King,Ex%27s+&+Oh%27s
Shawn+Mendes,Treat+You+Better
One+Direction,Drag+Me+Down
Cutting+Crew,(I+Just)+Died+in+Your+Arms
The+Weeknd,Can%27t+Feel+My+Face
Flo+Rida,My+House
Adam+Lambert,Ghost+Town
Vance+Joy,Riptide
Aerosmith,I+Don%27t+Want+to+Miss+a+Thing
Zara+Larsson,Lush+Life
Ariana+Grande,Into+You
Adele,Rolling+in+the+Deep
Alessia+Cara,Here
Carly+Rae+Jepsen,I+Really+Like+You
Tove+Lo,Talking+Body
Ellie+Goulding,"Love+Me+Like+You+Do+-+From+""Fifty+Shades+Of+Grey"""
Demi+Lovato,Confident
OMI,Cheerleader+-+Felix+Jaehn+Remix+Radio+Edit
Seal,Kiss+From+A+Rose
Guns+N%27+Roses,Sweet+Child+O%27+Mine
Third+Eye+Blind,Semi-Charmed+Life
Ed+Sheeran,Thinking+Out+Loud
Gnarls+Barkley,Crazy
Maroon+5,This+Summer
Hozier,Take+Me+To+Church
Sia,Chandelier
Ariana+Grande,One+Last+Time
Echosmith,Bright
"Fifth+Harmony,+Kid+Ink",Worth+It
Lady+Gaga,Bad+Romance
Journey,Don%27t+Stop+Believin%27
Red+Hot+Chili+Peppers,Under+The+Bridge
Missy+Elliott,Get+Ur+Freak+On
Rihanna,American+Oxygen
Beyoncé,Halo
Ellie+Goulding,Burn
Miley+Cyrus,Wrecking+Ball
John+Legend,All+of+Me
Sara+Bareilles,Brave
Enrique+Iglesias,Hero
Justin+Timberlake,Mirrors
Alicia+Keys,Girl+on+Fire
Adele,Set+Fire+to+the+Rain
Fiona+Apple,Criminal
Oasis,Wonderwall
James+Blunt,You%27re+Beautiful
Eve+6,Inside+Out
Anna+Kendrick,Cups+-+Movie+Version
Adele,Someone+Like+You
Missy+Elliott,Work+It
Passenger,Let+Her+Go
Coldplay,Yellow
The+Goo+Goo+Dolls,Iris
Bryan+Adams,(Everything+I+Do)+I+Do+It+For+You
Tracy+Chapman,Give+Me+One+Reason
Meghan+Trainor,All+About+That+Bass
MAGIC!,Rude
Sublime,What+I+Got
Train,"Hey,+Soul+Sister"
Carrie+Underwood,Before+He+Cheats
R.E.M.,The+One+I+Love
U2,I+Still+Haven%27t+Found+What+I%27m+Looking+For
a-ha,Take+On+Me
Alicia+Keys,No+One
Billy+Joel,Piano+Man
Bon+Jovi,You+Give+Love+A+Bad+Name
"Maroon+5,+Christina+Aguilera",Moves+Like+Jagger+-+Studio+Recording+From+The+Voice+Performance
Christina+Perri,A+Thousand+Years
Demi+Lovato,Let+It+Go+-+Single+Version
Edward+Sharpe+&+The+Magnetic+Zeros,Home
"Ewan+McGregor,+Alessandro+Safina","Your+Song+-+From+Moulin+Rouge""+Soundtrack"""
Florence+++The+Machine,Dog+Days+Are+Over
The+Proclaimers,I%27m+Gonna+Be+(500+Miles)
Maroon+5,Harder+To+Breathe
Queen,Bohemian+Rhapsody+-+Remastered+2011
Spice+Girls,Wannabe+-+Radio+Edit
Train,Drops+of+Jupiter
Semisonic,Closing+Time
blink-182,All+The+Small+Things
Grouplove,Ways+To+Go
The+Jackson+5,I+Want+You+Back
Kings+of+Leon,Use+Somebody
Lady+Antebellum,Need+You+Now
Toni+Braxton,Un-Break+My+Heart
Michael+Jackson,Billie+Jean+-+Single+Version
Leona+Lewis,Bleeding+Love
Lana+Del+Rey,Young+And+Beautiful
Halsey,New+Americana
Modest+Mouse,Float+On
Plain+White+T%27s,Hey+There+Delilah
Aerosmith,Dream+On
RENT+Soundtrack,Seasons+Of+Love
Sara+Bareilles,King+Of+Anything
Shania+Twain,Man!+I+Feel+Like+A+Woman!
Third+Eye+Blind,Jumper
Van+Morrison,Brown+Eyed+Girl
Whitney+Houston,I+Will+Always+Love+You
"John+Travolta,+Olivia+Newton-John",Summer+Nights
The+B-52%27s,Love+Shack+[Edit]+(45+Version)
Joan+Jett+Tribute+Band,I+Love+Rock+and+Roll
Miley+Cyrus,Adore+You
4+Non+Blondes,What%27s+Up?
Christina+Aguilera,Beautiful
Robbie+Williams,Angels
3+Doors+Down,Kryptonite
Lynyrd+Skynyrd,Sweet+Home+Alabama
Guns+N%27+Roses,Sweet+Child+O%27+Mine
Edwin+McCain,I%27ll+Be+(45+Version)
Puddle+Of+Mudd,She+Hates+Me
Queen,Don%27t+Stop+Me+Now+-+Remastered+2011
Huey+Lewis+&+The+News,The+Power+Of+Love
Tonic,If+You+Could+Only+See
Whitesnake,Here+I+Go+Again
Stone+Temple+Pilots,Interstate+Love+Song
Creed,With+Arms+Wide+Open
The+Tokens,The+Lion+Sleeps+Tonight+(Wimoweh)
Tenacious+D,Tribute
