Artist Name,Track Name
Timeflies,Once+in+a+While
"Madden,+6AM",Golden+Light+-+feat.+6AM
"Jonas+Blue,+Dakota",Fast+Car+-+Radio+Edit
"Drake,+Wiz+Kid,+Kyla",One+Dance
"Fifth+Harmony,+Ty+Dolla+$ign",Work+from+Home
"MUNA,+Ti‘sto",Winterbreak+-+Ti‘sto%27s+Deep+House+Remix
The+Veronicas,In+My+Blood
"Cash+Cash,+Sofia+Reyes",How+To+Love+(feat.+Sofia+Reyes)
Sam+Feldt,Been+A+While
"David+Guetta,+Zara+Larsson",This+One%27s+For+You+(feat.+Zara+Larsson)+-+Official+Song+UEFA+EURO+2016
"Robin+Schulz,+Francesco+Yates",Sugar+(feat.+Francesco+Yates)
Alyssa+Reid,Rollercoaster
"Lucky+Rose,+Yan+Etchevary",The+Way+You+Want+Me
Trevor+Guthrie,Wanted
"Kygo,+Maty+Noyes",Stay
Avicii,Waiting+For+Love
"Matoma,+Becky+Hill",False+Alarm
Coleman+Hell,Fireproof
Rainer+++Grimm,Do+It+Right
"Sigala,+John+Newman,+Nile+Rodgers,+Cedric+Gervais,+Laurent+Simeca",Give+Me+Your+Love
"Bit+Funk,+NEFE",Destination+Sunrise
"The+Knocks,+Wyclef+Jean",Kiss+The+Sky+(feat.+Wyclef+Jean)
"Flo+Rida,+Jason+Derulo",Hello+Friday+(feat.+Jason+Derulo)
"Tritonal,+Angel+Taylor",Getaway
Zara+Larsson,Lush+Life
"BUNT.,+BEGINNERS",Young+Hearts+(feat.+Beginners)
"Chelsea+Lankes,+Instant+Karma",Bullet+-+Instant+Karma+Remix
"Steve+Aoki,+Boehm,+WALK+THE+MOON",Back+2+U
Fifth+Harmony,The+Life
Jason+Derulo,If+It+Ain%27t+Love
"Dagny,+B¯RNS",Fool%27s+Gold
"David+Guetta,+Sia,+Fetty+Wap",Bang+My+Head+(feat.+Sia+&+Fetty+Wap)
"CAZZETTE,+Laleh",Blue+Sky
"Major+Lazer,+Nyla,+Fuse+Odg",Light+It+Up+(feat.+Nyla+&+Fuse+ODG)+[Remix]
Justin+Timberlake,"Can%27t+Stop+the+Feeling!+(Original+Song+from+DreamWorks+Animation%27s+""TROLLS"")"
Nick+Jonas,Champagne+Problems
"Eva+Shaw,+Poo+Bear",Rise+N+Shine
Dagny,Backbeat
"Calvin+Harris,+Rihanna",This+Is+What+You+Came+For
"Jonas+Blue,+JP+Cooper",Perfect+Strangers
Demi+Lovato,Body+Say
Fitz+and+The+Tantrums,HandClap
Coleman+Hell,2+Heads
"Otto+Knows,+Avicii",Back+Where+I+Belong+(feat.+Avicii)
Shawn+Mendes,Treat+You+Better
Britney+Spears,Clumsy
"Felix+Cartal,+Steph+Jones",Keep+Up
"Felix+Snow,+SZA",Lies+(feat.+SZA)
The+Shadowboxers,Build+The+Beat
