Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.113267057,0.013409187,0.010765119,0.201955661,0.800242782,5.69E-07,0.374043673
9.02E-07,3.00E-14,0.000277573,1,0.808817089,0.09559036,3.00E-14
0.116083294,0.998188853,0.304315984,0.093594804,0.003760037,0.002968079,0.81715554
0.053801212,3.00E-14,0.000152595,0.989508152,0.808817089,0.09559036,3.00E-14
0.14902243,0.697488844,0.11822053,0.229124099,0.012443893,0.012334493,0.329852223
3.11E-07,3.00E-14,0.002144358,0.999996543,0.808817089,0.09559036,3.00E-14
4.95E-09,3.00E-14,0.001828308,0.993687451,0.808817089,0.09559036,3.00E-14
0.006988718,3.00E-14,0.030117545,0.961913228,0.808817089,0.09559036,3.00E-14
0.793725848,0.974233806,0.02089585,0.056210227,0.206119314,1.57E-05,0.992484331
0.003842527,3.00E-14,0.006979481,0.999998331,0.808817089,0.09559036,3.00E-14
0.156006172,0.880765498,0.023331719,0.133774176,0.062270872,0.009603864,0.52121824
1.00E-09,3.00E-14,0.002622856,0.995939374,0.808817089,0.09559036,3.00E-14
0.919194758,0.434891909,0.54971689,0.113051966,0.817145467,0.196908057,0.848565698
1.55E-07,3.00E-14,0.003120025,1,0.808817089,0.09559036,3.00E-14
0.021955993,3.00E-14,0.087359272,0.672320545,0.808817089,0.09559036,3.00E-14
4.24E-06,3.00E-14,0.002851659,0.94958216,0.808817089,0.09559036,3.00E-14
0.053801212,3.00E-14,0.000152595,0.989508152,0.808817089,0.09559036,3.00E-14
7.66E-07,3.00E-14,0.017515119,0.9868806,0.808817089,0.09559036,3.00E-14
0.974877596,0.197901502,0.953654826,0.034118675,0.06384407,0.224676952,0.028394202
1.13E-05,3.00E-14,0.010425444,1,0.808817089,0.09559036,3.00E-14
0.017973879,3.00E-14,0.001197982,0.999997199,0.808817089,0.09559036,3.00E-14
0.515592277,0.046136115,0.139750853,0.695877731,0.055548199,0.151754215,0.300945997
1.38E-05,3.00E-14,0.00033812,0.988745868,0.808817089,0.09559036,3.00E-14
1.35E-06,3.00E-14,0.00147398,0.992156446,0.808817089,0.09559036,3.00E-14
8.25E-07,3.00E-14,0.00062535,0.98845607,0.808817089,0.09559036,3.00E-14
0.211934924,0.90052563,0.070760526,0.177858293,0.051532883,0.016555918,0.035220914
0.906625569,0.4733513,0.016168591,0.013406227,0.129968941,0.0478618,0.813143015
0.102143519,3.00E-14,0.061486557,0.99999994,0.808817089,0.09559036,3.00E-14
0.188334823,0.802066326,0.124451436,0.30116275,0.117823958,0.029151984,0.682714581
0.00304745,3.00E-14,0.003404047,0.99999994,0.808817089,0.09559036,3.00E-14
0.153454408,0.957684755,0.5337044,0.046182089,0.029107323,1.26E-05,0.292115659
0.114112064,3.00E-14,0.026437009,0.999998927,0.808817089,0.09559036,3.00E-14
0.030418539,0.904983461,0.087122045,0.112930998,0.090236075,0.006769555,0.033244465
0.861717403,0.265638053,0.858181715,0.027718127,0.075798616,0.038552456,0.371696293
0.020970142,3.00E-14,0.040892217,0.990018129,0.808817089,0.09559036,3.00E-14
5.39E-06,3.00E-14,0.026972029,0.956953049,0.808817089,0.09559036,3.00E-14
0.008834029,0.974404514,0.002819843,0.023165124,0.022630543,0.00295057,0.30460608
0.011983809,0.93339932,0.011140485,0.299534261,0.432254791,8.91E-06,0.310229689
0.011493865,3.00E-14,0.002818754,1,0.808817089,0.09559036,3.00E-14
0.022133533,0.300524652,0.425995052,0.365872592,0.634247601,0.153304294,0.78811872
1.67E-06,0.941720366,0.000136115,0.017493559,0.608285606,5.37E-06,0.228160754
0.079626732,0.985254586,0.023745051,0.018152876,0.038495794,0.005967364,0.204295471
0.027364923,0.968151569,0.00084226,0.5,0.04055715,0.009262593,0.029585028
5.97E-06,0.995246172,0.009226404,0.0010047,0.007115082,1.25E-05,0.050776321
0.11553026,3.00E-14,0.429147542,0.004031589,0.808793366,2.59E-07,0.990391314
0.063742541,0.947112024,0.004200032,0.414254814,0.04252696,1.36E-05,0.711205184
0.343351781,0.981502354,0.009265241,0.01753187,0.045774985,6.62E-06,0.391447663
0.141483977,0.999971449,0.033724591,0.000234926,0.00320565,2.29E-07,0.011660175
2.85E-08,3.00E-14,0.001658527,0.99999851,0.808817089,0.09559036,3.00E-14
4.11E-07,3.00E-14,0.010461209,0.888317287,0.808817089,0.09559036,3.00E-14
2.38E-07,3.00E-14,0.001896898,0.99662441,0.808817089,0.09559036,3.00E-14
1.17E-05,3.00E-14,0.006403263,0.675458431,0.808817089,0.052795645,3.00E-14
1.03E-06,3.00E-14,0.246299282,0.980891466,0.808817089,0.09559036,3.00E-14
0.006856026,3.00E-14,0.005665738,0.999999881,0.808817089,0.09559036,3.00E-14
1.55E-07,3.00E-14,0.003120025,1,0.808817089,0.09559036,3.00E-14
4.10E-07,3.00E-14,0.000781959,0.981104016,0.808817089,0.09559036,3.00E-14
0.920698464,0.118097663,0.762315571,0.643693089,0.002559194,0.072825849,0.034392118
1.38E-05,3.00E-14,0.00033812,0.988745868,0.808817089,0.09559036,3.00E-14
0.562708378,0.04343373,0.786943614,0.978145838,0.722828031,0.004311725,0.592894614
3.40E-06,3.00E-14,0.000172201,0.961733222,0.808817089,5.08E-07,4.13E-06
