Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.341034085,0.983229876,0.034991562,0.060863692,0.011558197,0.002994999,0.436014116
0.99460727,0.127308652,0.015081484,0.268463433,0.355786622,0.0254227,0.877857089
0.694718242,0.267204851,0.996583462,0.408048928,0.647388041,0.04468431,0.159942016
9.08E-06,3.00E-14,0.000588531,0.987582266,0.808817089,0.09559036,3.00E-14
2.94E-07,3.00E-14,0.003664236,0.992640555,0.808817089,0.09559036,3.00E-14
5.07E-06,3.00E-14,0.004568611,0.994889498,0.808817089,0.09559036,3.00E-14
3.79E-06,3.00E-14,0.003008147,0.908596396,0.808817089,0.09559036,3.00E-14
0.008467304,3.00E-14,0.038910691,1,0.808817089,0.09559036,3.00E-14
0.970646679,0.88523072,0.584835231,0.054637101,0.051283628,0.17243056,0.791429341
0.005819811,0.961467147,0.035635941,0.012603049,0.263160378,0.022681139,6.38E-09
0.963686526,0.244187623,0.992015779,0.096009076,0.423546672,0.109118968,0.286825776
0.122213677,3.00E-14,0.097668223,0.991855919,0.808817089,0.09559036,3.00E-14
0.943004489,0.938651264,0.271237969,0.007676801,0.42329064,0.005322447,0.220594496
0.014909089,3.00E-14,0.026981937,0.940574467,0.808817089,0.09559036,3.00E-14
0.942312181,0.897634923,0.010407696,0.10622631,0.007319793,0.020647669,0.267031729
0.175329432,0.918061674,0.441817582,0.209871694,0.082712829,0.018433746,0.157299519
0.071985416,0.727490366,0.227818608,0.993051946,0.057214402,0.01570425,0.618355989
0.90251267,0.552182853,0.993493319,0.023691729,0.424892336,0.180862039,0.24071303
0.874013543,1.78E-05,0.06578704,0.09694045,0.748966873,2.36E-06,0.98150152
0.940330684,0.02167259,0.991048932,0.009167623,0.103944384,0.23951833,0.979553878
0.038641799,0.999346614,0.618349314,3.83E-05,0.115244381,0.002616048,1.66E-10
0.00876407,3.00E-14,0.056643911,0.883660138,0.808817089,0.09559036,3.00E-14
0.995284796,0.927652657,0.139671847,0.832625329,0.040369451,1.58E-05,0.692421496
0.735164881,0.970041096,0.415698618,0.000197467,0.099262066,0.026815474,0.046932384
0.993706644,0.872809827,0.76232177,0.000451323,0.003664372,0.023862381,0.133336261
0.970646679,0.88523072,0.584835231,0.054637101,0.051283628,0.17243056,0.791429341
0.026724534,3.00E-14,0.000447219,0.988945186,0.808817089,6.05E-08,0.999999881
0.431561142,0.985991955,0.010280747,0.000122667,0.263281286,0.124112658,0.026308006
0.66439575,0.132426739,0.041749448,0.000829169,0.748030782,4.24E-07,0.903008759
0.929636776,0.789183974,0.152482733,0.001629761,0.064103596,0.003955912,0.119172342
0.620073557,0.611750185,0.786855996,0.001757101,0.180470869,0.018781234,0.009902444
0.006657274,3.00E-14,0.001315997,0.994250655,0.808817089,0.09559036,3.00E-14
0.945929289,0.025796825,0.962323427,0.122439601,0.706205308,5.11E-06,0.999088287
0.69802624,0.854566455,0.972112417,0.053937361,0.008047676,1.32E-05,0.573569298
1.18E-06,3.00E-14,0.006798831,0.999996543,0.808817089,0.09559036,3.00E-14
0.006757136,3.00E-14,0.001042624,0.999982417,0.808817089,0.09559036,3.00E-14
0.959791541,0.452288926,0.875814676,0.005947542,0.043140892,0.063762456,0.880536377
0.875849485,0.768618882,0.972833097,0.602034211,0.069899842,0.007628206,0.261496127
3.93E-06,3.00E-14,0.001337861,0.995655775,0.808817089,0.09559036,3.00E-14
0.65918529,0.793663979,0.013034753,0.000380108,0.42457062,0.008439718,0.104460225
0.549387157,0.689817548,0.059061591,0.92441833,0.044016019,0.004250118,0.970311403
0.696427882,0.68454349,0.126339093,0.055093355,0.315228164,0.006846381,0.032267839
0.978466332,0.800446987,0.42861408,0.023022447,0.022456827,0.024819495,0.043559868
1.16E-05,3.00E-14,0.005514076,0.987087905,0.808817089,0.09559036,3.00E-14
0.958394647,0.123338923,0.573566139,0.286877573,0.241533116,0.193531558,0.895539522
0.002683571,3.00E-14,0.010597687,0.994744539,0.808817089,0.09559036,3.00E-14
0.989321589,0.5,0.973127246,0.059720125,0.046418887,0.006186452,0.911725044
0.992573142,0.582965493,0.853906989,0.023466645,0.009241205,0.193989739,0.239004567
0.962919831,0.092802815,0.884390652,0.033405419,0.024686474,0.014794259,0.629578292
0.341034085,0.983229876,0.034991562,0.060863692,0.011558197,0.002994999,0.436014116
0.995385826,0.422760308,0.897589624,0.735692918,0.119662844,0.035907105,0.586254716
1.17E-06,3.00E-14,0.000371953,0.995602429,0.808817089,0.09559036,3.00E-14
1.77E-05,3.00E-14,0.006368773,0.995625913,0.808817089,0.09559036,3.00E-14
0.004722226,0.999999881,0.00395852,0.760988474,0.808817089,0.059272993,0.999999881
2.30E-07,3.00E-14,0.001030383,0.99999994,0.808817089,0.09559036,3.00E-14
0.028164286,3.00E-14,0.048821144,1,0.808817089,0.095590301,3.00E-14
4.29E-06,3.00E-14,0.0019954,0.968719542,0.808817089,0.09559036,3.00E-14
8.41E-06,3.00E-14,0.001459641,0.999996781,0.808817089,0.09559036,3.00E-14
0.003401113,3.00E-14,0.070904098,0.943602145,0.808817089,0.09559036,3.00E-14
0.544078231,0.318301201,0.882694304,0.121268801,0.119702965,0.039983824,0.898918033
0.999797106,0.046504118,0.979858458,0.024325415,0.019899242,0.632907808,0.920656383
1.39E-08,3.00E-14,0.002909657,0.994735301,0.808817089,0.09559036,3.00E-14
0.049772471,3.00E-14,0.001062086,0.977022171,0.808817089,0.09559036,3.00E-14
0.03416184,3.00E-14,0.002829205,0.9806391,0.808817089,0.09559036,3.00E-14
0.987022221,0.337763399,0.999994397,0.126228496,0.078437246,0.030250045,0.711577356
0.942351997,0.062579043,0.999989748,0.03867916,0.165118381,0.068763979,0.633729875
0.777156532,0.489552855,0.095882468,0.000343825,0.539854228,0.010627243,0.279419303
0.69802624,0.854566455,0.972112417,0.053937361,0.008047676,1.32E-05,0.573569298
0.008117459,3.00E-14,0.000124733,0.996907115,0.808817089,0.09559036,3.00E-14
0.65918529,0.793663979,0.013034753,0.000380108,0.42457062,0.008439718,0.104460225
0.006657274,3.00E-14,0.001315997,0.994250655,0.808817089,0.09559036,3.00E-14
0.696427882,0.68454349,0.126339093,0.055093355,0.315228164,0.006846381,0.032267839
0.006757136,3.00E-14,0.001042624,0.999982417,0.808817089,0.09559036,3.00E-14
0.002683571,3.00E-14,0.010597687,0.994744539,0.808817089,0.09559036,3.00E-14
0.549387157,0.689817548,0.059061591,0.92441833,0.044016019,0.004250118,0.970311403
0.959791541,0.452288926,0.875814676,0.005947542,0.043140892,0.063762456,0.880536377
0.989321589,0.5,0.973127246,0.059720125,0.046418887,0.006186452,0.911725044
1.16E-05,3.00E-14,0.005514076,0.987087905,0.808817089,0.09559036,3.00E-14
1.17E-06,3.00E-14,0.000371953,0.995602429,0.808817089,0.09559036,3.00E-14
3.93E-06,3.00E-14,0.001337861,0.995655775,0.808817089,0.09559036,3.00E-14
0.341034085,0.983229876,0.034991562,0.060863692,0.011558197,0.002994999,0.436014116
0.875849485,0.768618882,0.972833097,0.602034211,0.069899842,0.007628206,0.261496127
0.004722226,0.999999881,0.00395852,0.760988474,0.808817089,0.059272993,0.999999881
0.962919831,0.092802815,0.884390652,0.033405419,0.024686474,0.014794259,0.629578292
1.77E-05,3.00E-14,0.006368773,0.995625913,0.808817089,0.09559036,3.00E-14
0.03416184,3.00E-14,0.002829205,0.9806391,0.808817089,0.09559036,3.00E-14
1.56E-08,0.999999881,0.00153939,0.985923707,0.808817089,0.09559036,0.999999881
0.958394647,0.123338923,0.573566139,0.286877573,0.241533116,0.193531558,0.895539522
5.26E-06,3.00E-14,0.002497547,0.945023894,0.808817089,0.09559036,3.00E-14
0.992573142,0.582965493,0.853906989,0.023466645,0.009241205,0.193989739,0.239004567
1.70E-06,3.00E-14,0.008787266,0.999999762,0.808817089,0.09559036,3.00E-14
0.784503222,0.991363943,0.834738016,0.002974972,0.032952152,6.95E-07,0.352598995
0.003401113,3.00E-14,0.070904098,0.943602145,0.808817089,0.09559036,3.00E-14
0.541443288,0.249419391,0.890487909,0.000560869,0.397704422,0.354702979,0.327360809
0.009800086,3.00E-14,0.001705214,0.949956298,0.808817089,0.09559036,3.00E-14
0.875327468,0.97287184,0.371714354,0.004830451,0.052576814,0.007026875,0.093686901
0.002687898,3.00E-14,0.003724999,0.99999994,0.808817089,0.09559036,3.00E-14
0.003927905,3.00E-14,0.001778234,0.984682143,0.808817089,0.09559036,3.00E-14
9.28E-07,3.00E-14,6.50E-05,0.995690405,0.808817089,0.09559036,3.00E-14
0.006757136,3.00E-14,0.001042624,0.999982417,0.808817089,0.09559036,3.00E-14
6.81E-07,3.00E-14,0.02266378,0.999993324,0.808817089,0.09559036,3.00E-14
1.18E-06,3.00E-14,0.006798831,0.999996543,0.808817089,0.09559036,3.00E-14
0.69802624,0.854566455,0.972112417,0.053937361,0.008047676,1.32E-05,0.573569298
0.777156532,0.489552855,0.095882468,0.000343825,0.539854228,0.010627243,0.279419303
0.959791541,0.452288926,0.875814676,0.005947542,0.043140892,0.063762456,0.880536377
0.620073557,0.611750185,0.786855996,0.001757101,0.180470869,0.018781234,0.009902444
