Tonality,Aggressiveness,Timbre,Instrumental,Relaxedness,Acoustics,Danceability
0.818534434,0.747296095,0.877078056,0.019826099,0.107462436,0.011702979,0.943264186
0.988983095,0.247663602,0.987694502,0.264842629,0.945228577,0.264177173,0.581473053
0.991593957,1.61E-06,0.993345439,0.020548845,0.91896075,0.990572155,0.065755025
0.008966786,0.175956398,0.00973452,0.033519305,0.89443481,0.61397326,0.139464885
0.997816443,6.98E-10,0.989000618,0.448328495,0.763792753,0.133067101,0.818762004
0.848089516,0.115847245,0.988317966,0.674793959,0.994723797,0.76546675,0.225764558
0.893754065,0.783997416,0.990615845,0.036334891,0.294850498,0.017222557,0.478097826
0.76377064,0.234976888,0.894770026,0.536433637,0.677998841,0.249825358,0.623091996
0.218674123,0.009925256,0.531293631,0.006365924,0.907001257,0.731968582,0.145639643
0.866895318,0.005455749,0.947098434,0.018049853,0.992559075,0.934732914,0.028170755
0.977947891,3.00E-14,0.999992549,0.286793739,0.808873177,0.05528288,0.91695261
1.48E-06,3.00E-14,0.002035855,0.995402813,0.808817089,0.09559036,3.00E-14
0.905489922,7.99E-07,0.981837392,0.942884862,0.919820428,0.879223049,0.022835433
0.015376024,3.00E-14,0.00258423,0.964394629,0.808817089,1.54E-05,0.012216728
0.307507873,0.010340831,0.659670115,0.090666302,0.864360571,0.844112992,0.282915026
0.973267615,0.009169472,0.935010374,0.654688358,0.745742619,0.891300797,0.333740175
0.897191286,0.040836237,0.996512532,0.077168979,0.173645511,0.636532247,0.396425337
0.986031353,0.03990145,0.994546294,0.035725467,0.622085512,0.8576473,0.125273272
0.808281124,0.076231167,0.88730973,0.007821123,0.542904735,0.26660347,0.238352463
1.84E-07,3.00E-14,0.006254235,0.999999821,0.808817089,0.09559036,3.00E-14
0.25815171,0.007423554,0.995799899,0.007634666,0.5,0.919141471,0.088783026
0.89525044,4.70E-08,0.990382791,0.458989143,0.994210362,0.885240495,0.009336579
0.997559428,0.051903993,0.071131393,0.737713575,0.973317146,0.999038219,0.005032392
0.887663066,1.18E-06,0.984048784,8.73E-06,0.54197979,0.992487788,0.023416504
1.05E-05,3.00E-14,0.000856263,0.99999696,0.808817089,0.09559036,3.00E-14
0.713758767,0.027089037,0.848516285,0.087990128,0.996109605,0.929526865,0.033794191
0.645255744,3.00E-14,0.966506243,0.916106224,0.808817089,0.032632161,3.00E-14
0.254298985,0.040546145,0.626482368,0.449485958,0.836043417,0.224889174,0.965111613
0.004739745,3.00E-14,0.002160754,0.99999994,0.808817089,0.09559036,3.00E-14
0.524926186,0.047984857,0.878708303,0.000662782,0.162039787,0.310616732,0.639249384
0.838734329,0.113559879,0.996540844,0.151716813,0.961893499,0.689923644,0.372073203
0.379310787,9.38E-07,0.999982357,0.024536233,0.955807507,0.894490719,0.039588049
0.988229215,0.011584759,0.969684362,0.023382464,0.954021394,0.96140039,0.040527832
0.879326046,0.018994702,0.882898033,0.076260127,0.991734743,0.761980534,0.07561776
0.981686413,0.067081064,0.99998492,0.625109971,0.918143511,0.66741544,0.358036965
0.095715597,0.013193703,0.00154021,0.304845393,0.982670784,0.120926499,0.925115049
0.051529393,0.215250939,0.144393086,0.014164182,0.819901884,0.187850758,0.1720777
0.081856787,0.003659182,0.979549348,0.280852377,0.605735898,0.003563968,0.99947077
0.9673599,0.194523811,0.947515905,0.664410353,0.206177652,0.095953546,0.976458669
0.650615692,0.003108827,0.953790665,0.013610383,0.967709005,0.848337531,0.730752528
0.05518315,7.05E-06,0.10258729,0.337116718,0.667399704,0.021947982,0.999371409
0.009559269,2.12E-11,0.201581374,0.06102474,0.815377831,0.087251097,0.970843852
0.922583699,3.17E-06,0.999983072,0.002095519,0.643952847,0.910783529,0.05075201
0.791145384,0.455635458,0.910948277,0.147910833,0.174011886,0.009713606,0.998274982
0.861759126,0.050184947,0.902459502,0.119893759,0.535436511,0.574848771,0.942903578
0.068055764,0.026601952,0.107539676,0.114684328,0.875212789,0.133371755,0.999498367
1.70E-08,3.00E-14,0.000328849,1,0.808817089,0.09559036,3.00E-14
0.033909027,1.65E-08,0.924256563,0.660429418,0.728468359,0.003197392,0.999956548
0.079232149,0.0243703,0.83395648,0.948651135,0.779734492,0.049344506,0.979271889
0.439591616,0.023341022,0.962461948,0.021430248,0.313708276,0.680140436,0.323729128
0.743440628,0.068765678,0.657548249,0.00380655,0.245550752,0.024989225,0.991531432
0.024716014,0.057309963,0.293946177,0.007589628,0.99368614,0.828680396,0.083668657
0.922054291,0.24907884,0.991005838,0.285584897,0.048915949,0.158237293,0.477012426
0.182604358,0.01679676,0.811869919,0.156907767,0.678671598,0.184471533,0.94333744
0.964179695,0.013558281,0.988468766,0.301769704,0.961547554,0.714968562,0.306359142
0.225874841,0.081243671,0.271606624,0.942663789,0.550643921,0.012497904,0.997059524
0.005785167,0.210104927,0.308294564,0.290832371,0.970796466,0.053224802,0.979912519
0.700286508,0.005259546,0.71412313,0.063958392,0.878263831,0.101102278,0.999639809
0.954881847,0.027892539,0.945550323,0.823507249,0.864584982,0.194381371,0.368253738
0.002913605,0.048724607,0.265459865,0.163133904,0.159200788,0.028263312,0.945189357
0.712705791,0.056756295,0.945034266,0.225851372,0.295829833,0.296204001,0.5
0.643666804,0.068176612,0.902347744,0.117790386,0.909495175,0.718918979,0.082383715
0.163030654,1.63E-05,0.15956901,0.06386359,0.951705873,0.712358475,0.144619048
0.84858942,0.120721027,0.659013867,0.30514726,0.965457559,0.531829596,0.579427779
0.619196773,1.64E-05,0.966141522,0.039884392,0.99645412,0.831653953,0.077193759
5.21E-06,3.00E-14,0.040887143,0.973011851,0.808817089,0.09559036,3.00E-14
0.005761889,1.24E-05,0.705067575,0.011466995,0.979732096,0.531590402,0.646542788
0.64579916,0.002623302,0.991867959,0.024057215,0.958108187,0.507253885,0.022853406
0.830198109,0.709674478,0.95307225,0.054342818,0.111819744,1.48E-05,0.811889887
0.972366035,0.02181522,0.999999404,0.051348794,0.957371414,0.863389075,0.11356736
0.625950754,0.039827086,0.816372871,0.077126734,0.851597309,0.148319125,0.716690481
0.996670544,0.019864332,0.999989629,0.020138731,0.704738617,0.107037894,0.999527395
0.211336061,0.150281042,0.441364735,0.507948875,0.060908101,1.24E-05,0.999898076
0.58231461,0.002746357,0.960273743,0.015544355,0.470077187,0.250291139,0.898719192
0.903799891,0.999999881,0.807734847,0.230682954,0.808817089,0.09559036,0.999999881
0.044310346,0.045225926,0.311814547,0.992873132,0.991104424,0.592040718,0.313631237
0.08604756,0.013255463,0.920333743,0.00685658,0.919801414,0.947300136,0.027173035
0.564193249,0.037357017,0.632764935,0.061315183,0.83816433,0.364048749,0.031143215
0.020141274,0.139866054,0.86931783,0.000221703,0.034814034,0.066556908,0.770355403
0.339140743,0.007723144,0.826644123,0.206053123,0.984306753,0.948034108,0.153949961
0.958866775,0.011029585,0.963207543,0.950705945,0.991609931,0.997940183,0.004863379
0.368024766,0.010398756,0.79270488,0.004460958,0.927034676,0.891404867,0.053038228
0.813854277,1.80E-06,0.990015686,0.049668446,0.993073106,0.974355757,0.078064874
0.742194414,1.05E-06,0.98882699,0.028412985,0.831304133,0.60992229,0.80367744
0.844442129,0.034998138,0.999999821,0.02818352,0.395824671,0.737894058,0.122327723
0.825412393,0.003147074,0.363419205,0.064222202,0.823458016,0.963646233,0.017624687
0.994765759,0.004136595,0.999999523,0.135364965,0.97348994,0.994036436,0.045629423
0.889025152,0.365771264,0.959261894,0.816683531,0.468762159,0.403025001,0.900909066
0.38088268,0.203309968,0.465739042,0.772621393,0.550282061,0.333844304,0.72586447
0.596960187,0.115942642,0.10371612,0.82446903,0.521368682,0.328527063,0.330281675
0.697713912,0.252523094,0.936006069,0.01906486,0.281106621,0.137839168,0.850574732
1.89E-05,3.00E-14,0.011343605,0.846738696,0.808817089,0.04529443,3.00E-14
0.619196773,1.64E-05,0.966141522,0.039884392,0.99645412,0.831653953,0.077193759
0.006200594,3.00E-14,0.062329117,0.999999702,0.808817089,0.09559036,3.00E-14
0.070101857,0.022458632,0.512833893,0.063003987,0.214516819,0.210745633,0.861972749
0.42809099,0.007064999,0.79651171,0.051376693,0.872960329,0.610306323,0.385604829
0.193439931,0.01153968,0.417805701,0.080539599,0.219127893,0.599352002,0.470000774
0.03059997,0.006114829,0.559163034,0.668813109,0.944586396,0.900200367,0.045940422
0.809075296,0.083267428,0.949847639,0.080533922,0.702816546,0.088378929,0.979301989
0.003505683,3.00E-14,0.28711912,0.999999821,0.808817089,0.066093989,3.53E-08
0.870773971,0.006773382,0.999998033,0.018268172,0.4796395,0.859617829,0.187381476
0.26048705,0.231107667,0.421468943,0.509913564,0.705581188,0.012300497,0.999995708
1.83E-06,3.00E-14,0.000359262,0.999991119,0.808817089,0.09559036,3.00E-14
0.318914771,0.077291735,0.836933196,0.912044168,0.937199414,0.737590432,0.687658131
0.981686413,0.067081064,0.99998492,0.625109971,0.918143511,0.66741544,0.358036965
0.940346897,0.063752279,0.971500456,0.013561476,0.836172938,0.883359373,0.551489651
0.683837593,0.057439212,0.993964136,0.224744722,0.733420253,0.776370645,0.485301495
0.89525044,4.70E-08,0.990382791,0.458989143,0.994210362,0.885240495,0.009336579
0.984897733,3.00E-14,0.926974654,0.6879493,0.808817148,0.044536546,0.796624243
0.003062833,3.00E-14,0.013290312,0.99378407,0.808817089,0.09559036,3.00E-14
0.019502949,0.023998065,0.097078718,0.061419424,0.645425737,0.149880499,0.417419791
